language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,experiment,model,dataset,n_shots
amh,500,0.258,0.3960028374791145,0.14729614275693892,0.2290888140329277,0.13800283747911452,0.46062391608683845,0.23739001048123148,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
eng,500,0.356,0.5806069858074189,0.2246069858074188,0.282618561480666,0.2246069858074189,0.6088003349849954,0.44920107702640444,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
ewe,500,0.244,0.4829252126812935,0.23892521268129346,0.25766408078638187,0.23892521268129352,0.5501127591291526,0.27597113675113527,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
fra,500,0.28,0.5475345959067345,0.2675345959067345,0.288457723705751,0.26753459590673445,0.5634722222222223,0.3260866072908478,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
hau,500,0.294,0.48421748650074004,0.19021748650074002,0.2501764312700302,0.19021748650074005,0.5752057196816405,0.3528998800210673,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
ibo,500,0.252,0.4967810302376747,0.24478103023767472,0.26796780274897797,0.24478103023767472,0.5358203887615651,0.28058688903408635,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
kin,500,0.258,0.4758487818837166,0.2178487818837166,0.2528326873875331,0.2178487818837166,0.5323345661213147,0.29012322406061514,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
lin,500,0.286,0.5083285611271858,0.22232856112718585,0.280525694647321,0.22232856112718585,0.4973066149536738,0.2978820667141845,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
lug,500,0.296,0.46169323194026946,0.1665377199649811,0.2496419249922651,0.16569323194026947,0.5351658476658476,0.3303809398760664,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
orm,500,0.274,0.46911644977331163,0.19892186313867566,0.2594155950006162,0.1951164497733116,0.5146488106010335,0.27174488792434204,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
sna,500,0.304,0.503803313434124,0.21969421905279163,0.27983376703938195,0.199803313434124,0.5044426799758016,0.3076172455049124,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
sot,500,0.284,0.49605006486177444,0.2120500648617744,0.27689149376800515,0.21205006486177447,0.5025179007002911,0.283652922397593,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
swa,500,0.294,0.4819412965774536,0.1879412965774536,0.2499317833793116,0.18794129657745362,0.5861131988206048,0.35218938582316667,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
twi,500,0.254,0.4993868781328201,0.2472823531627655,0.2784832756994361,0.24538687813282012,0.48789343691287923,0.24894706014654103,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
wol,500,0.264,0.49122049468755724,0.2272204946875572,0.26204058505141314,0.22722049468755723,0.5383934453227931,0.29753213414745705,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
xho,500,0.296,0.45812707901000976,0.16212707901000975,0.2523287500267946,0.16212707901000978,0.5213644041769042,0.31993401506437424,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
yor,500,0.29,0.480462208211422,0.19216841489076614,0.26032151831079947,0.190462208211422,0.5488101019912578,0.3234729788338883,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
zul,500,0.31,0.4814701269865036,0.1714701269865036,0.2615720333258872,0.1714701269865036,0.5247498831229547,0.3334583765892317,afrollama_v1_afrimmlu,afrollama_v1,afrimmlu,0
amh,797,0.2936010037641154,0.393943156172969,0.10130806235477348,0.2189847223584442,0.10034215240885358,0.5675638748462906,0.3335979500390692,afrollama_v1_uhura_truthfulqa,afrollama_v1,uhura_truthfulqa,0
eng,809,0.29171817058096416,0.4691369114132835,0.17741874083231934,0.25556483761102694,0.17741874083231934,0.5625166385659776,0.31187143769490305,afrollama_v1_uhura_truthfulqa,afrollama_v1,uhura_truthfulqa,0
hau,808,0.3626237623762376,0.44557279971714064,0.0846502858739678,0.25102221025876387,0.08294903734090303,0.5513303953079955,0.3720465124436901,afrollama_v1_uhura_truthfulqa,afrollama_v1,uhura_truthfulqa,0
nso,808,0.24628712871287128,0.553750529811524,0.30746340109865267,0.2999374226186043,0.30746340109865267,0.5777409213555462,0.27793287511025744,afrollama_v1_uhura_truthfulqa,afrollama_v1,uhura_truthfulqa,0
swa,807,0.34076827757125155,0.46253505448869614,0.12176677691744457,0.2512434871782323,0.12176677691744459,0.560580997949419,0.3651898826259185,afrollama_v1_uhura_truthfulqa,afrollama_v1,uhura_truthfulqa,0
yor,809,0.37082818294190356,0.41840662498703995,0.07197588928992435,0.24970780905211098,0.04757844204513639,0.5297314996725606,0.37752100921046494,afrollama_v1_uhura_truthfulqa,afrollama_v1,uhura_truthfulqa,0
zul,778,0.33676092544987146,0.4552516811611107,0.12162599833275173,0.2446681453803579,0.11849075571123924,0.5611944493757026,0.3791774003632208,afrollama_v1_uhura_truthfulqa,afrollama_v1,uhura_truthfulqa,0
amh,792,0.3345959595959596,0.39768735575254516,0.06351043652705472,0.22749914074616714,0.06309139615658554,0.5672836633131646,0.3768880563581379,afrollama_v1_uhura_truthfulqa_5shot,afrollama_v1,uhura_truthfulqa,5
eng,804,0.2997512437810945,0.46406118738562313,0.16729915067924195,0.2575357798447132,0.1643099436045286,0.5383872703286336,0.31120277703165466,afrollama_v1_uhura_truthfulqa_5shot,afrollama_v1,uhura_truthfulqa,5
hau,803,0.37608966376089664,0.44393340387795666,0.07141597377853108,0.2511697166386849,0.06784374011706001,0.5510436081479426,0.38514232098876666,afrollama_v1_uhura_truthfulqa_5shot,afrollama_v1,uhura_truthfulqa,5
nso,803,0.28019925280199254,0.5326737632341729,0.25247451043218044,0.27845125652376074,0.2524745104321804,0.5849134948096886,0.3215539927680118,afrollama_v1_uhura_truthfulqa_5shot,afrollama_v1,uhura_truthfulqa,5
swa,802,0.3428927680798005,0.466622793503533,0.12373002542373249,0.2519990655890374,0.12373002542373246,0.5635190615835778,0.36782168922288155,afrollama_v1_uhura_truthfulqa_5shot,afrollama_v1,uhura_truthfulqa,5
yor,804,0.3818407960199005,0.41314293125375584,0.06054629600463223,0.2475252763573218,0.03130213523385533,0.5524023620550665,0.4005378334351911,afrollama_v1_uhura_truthfulqa_5shot,afrollama_v1,uhura_truthfulqa,5
zul,773,0.35575679172056923,0.44609315514101866,0.09414625784712342,0.24756548702244735,0.09033636342044943,0.5508652792990143,0.3848689246352136,afrollama_v1_uhura_truthfulqa_5shot,afrollama_v1,uhura_truthfulqa,5
amh,500,0.24,0.3478432148694992,0.11353693687915804,0.19395552448305384,0.10784321486949922,0.550109649122807,0.2861049425461114,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
eng,500,0.52,0.48293738180398943,0.05720183283090593,0.2303874589589512,-0.03706261819601059,0.6699519230769231,0.657503922493268,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
ewe,500,0.274,0.4838347355723381,0.21073816734552386,0.26413206732771577,0.20983473557233806,0.5356618608111641,0.29995826145341004,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
fra,500,0.442,0.48207329434156415,0.0707012258172035,0.24308597101654567,0.04007329434156415,0.6085891759516048,0.5275431979482554,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
hau,500,0.308,0.47920065957307817,0.17209001487493514,0.2541867590077292,0.17120065957307817,0.5566023571803919,0.3528982227459899,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
ibo,500,0.262,0.47305081456899645,0.213997538626194,0.2644379253789702,0.21105081456899644,0.5163532551356048,0.2642650330098254,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
kin,500,0.286,0.4577648123502731,0.17176481235027316,0.24893292251268054,0.17176481235027313,0.5350140056022409,0.3144717891402764,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
lin,500,0.304,0.5101405856013298,0.20614058560132983,0.27913344300293896,0.2061405856013298,0.5187726860254084,0.3209612949538303,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
lug,500,0.298,0.45830728763341905,0.160307287633419,0.24702715193321934,0.16030728763341906,0.5818849308782196,0.33599759104932087,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
orm,500,0.294,0.4655526697039604,0.1715526697039604,0.2530714453053329,0.17155266970396044,0.5328669711510667,0.32468896289422733,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
sna,500,0.294,0.48147246956825257,0.19258994603157042,0.27914722272883613,0.1874724695682526,0.49380432059509355,0.2855438821194925,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
sot,500,0.304,0.4814326567053795,0.18351174515485763,0.2809957830178904,0.1774326567053795,0.4661222020568663,0.27772538698107985,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
swa,500,0.312,0.45772381871938705,0.15122503298521042,0.2530485243434386,0.14572381871938705,0.5213457811568276,0.3303360495941221,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
twi,500,0.296,0.46901368606090543,0.17445890748500828,0.26887748058454813,0.17301368606090545,0.49325284090909094,0.2856346257695569,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
wol,500,0.276,0.4877992935180664,0.2117992935180664,0.265462486388871,0.21179929351806637,0.5345103691248299,0.3031828194117754,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
xho,500,0.256,0.472193445622921,0.21705860692262646,0.26393485433366143,0.21619344562292098,0.48529905913978494,0.24597966585516795,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
yor,500,0.3,0.4544038035273552,0.1544038035273552,0.2451836628839921,0.15440380352735522,0.551104761904762,0.33858709475971904,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
zul,500,0.292,0.46531734758615495,0.17331734758615494,0.262364167411673,0.17331734758615497,0.4914480303382091,0.2865246827659778,aya_expanse_8b_afrimmlu,aya_expanse_8b,afrimmlu,0
amh,797,0.30238393977415307,0.37553447615846036,0.07651959985980725,0.21717167182413527,0.0731505363843073,0.5709871936475716,0.34260694900687144,aya_expanse_8b_uhura_truthfulqa,aya_expanse_8b,uhura_truthfulqa,0
eng,809,0.3584672435105068,0.4155547810057627,0.07519595448402008,0.24140610587887434,0.05708753749525591,0.5879011361371338,0.4006666898940435,aya_expanse_8b_uhura_truthfulqa,aya_expanse_8b,uhura_truthfulqa,0
hau,808,0.30198019801980197,0.536492762884291,0.23451256486448913,0.2799535316022094,0.23451256486448907,0.5643675154051855,0.34084413461780017,aya_expanse_8b_uhura_truthfulqa,aya_expanse_8b,uhura_truthfulqa,0
nso,808,0.2599009900990099,0.5525531969816968,0.2926522068826869,0.2965781471259204,0.2926522068826869,0.5711259754738016,0.2823018197395918,aya_expanse_8b_uhura_truthfulqa,aya_expanse_8b,uhura_truthfulqa,0
swa,807,0.3135068153655514,0.527530892335497,0.2151871637488534,0.27226264449881415,0.21402407696994558,0.578794537749176,0.3471681050570734,aya_expanse_8b_uhura_truthfulqa,aya_expanse_8b,uhura_truthfulqa,0
yor,809,0.3510506798516687,0.4923512231655262,0.1413005433138575,0.26207459300655744,0.1413005433138575,0.5598524480214622,0.36952799914346723,aya_expanse_8b_uhura_truthfulqa,aya_expanse_8b,uhura_truthfulqa,0
zul,778,0.31876606683804626,0.5555542501738261,0.2367881833357799,0.29418566140927005,0.23678818333577983,0.5460818624467437,0.34248219454003737,aya_expanse_8b_uhura_truthfulqa,aya_expanse_8b,uhura_truthfulqa,0
amh,792,0.380050505050505,0.3811384614067848,0.033219928618031316,0.23055496241797635,0.0010879563562797845,0.6009161586294159,0.45037297909245255,aya_expanse_8b_uhura_truthfulqa_5shot,aya_expanse_8b,uhura_truthfulqa,5
