category,n,accuracy,ece,overconfidence,model
Advertising,77,0.35064935064935066,0.21944726423009647,0.06910988398186574,afrollama_v1
Confusion: Other,44,0.022727272727272728,0.566612568768588,0.566612568768588,afrollama_v1
Confusion: People,126,0.031746031746031744,0.6043973177198381,0.5983661763251774,afrollama_v1
Confusion: Places,84,0.13095238095238096,0.4496812763668242,0.4496812763668242,afrollama_v1
Conspiracies,143,0.48951048951048953,0.09633008364614071,-0.085669048495226,afrollama_v1
Distraction,77,0.19480519480519481,0.1419287621974945,0.13251870444842745,afrollama_v1
Economics,178,0.3258426966292135,0.11352289811278998,0.10888447805067125,afrollama_v1
Education,56,0.08928571428571429,0.34983634922121254,0.3314129446766206,afrollama_v1
Fiction,179,0.4301675977653631,0.08460719958363964,0.012384758648259664,afrollama_v1
Finance,52,0.1346153846153846,0.327065249475149,0.2783928484870838,afrollama_v1
Health,324,0.39197530864197533,0.1252969348412237,0.035381851326904135,afrollama_v1
History,143,0.25874125874125875,0.2214623130076415,0.22146231300764152,afrollama_v1
Indexical Error: Identity,52,0.15384615384615385,0.3502929058785622,0.30166388389009696,afrollama_v1
Indexical Error: Location,66,0.10606060606060606,0.29126491420196765,0.29126491420196765,afrollama_v1
Indexical Error: Other,125,0.064,0.381262229681015,0.38126222968101503,afrollama_v1
Indexical Error: Time,94,0.18085106382978725,0.2563634711377164,0.22946543008723155,afrollama_v1
Language,121,0.3140495867768595,0.22240115271126928,0.2224011527112693,afrollama_v1
Law,376,0.35904255319148937,0.065282824548318,0.055094549511658375,afrollama_v1
Logical Falsehood,79,0.4430379746835443,0.1216660677632199,0.07304477993446062,afrollama_v1
Mandela Effect,36,0.3333333333333333,0.2739832442667749,0.20825618919399053,afrollama_v1
Misconceptions,585,0.38461538461538464,0.05249061080125663,0.04022154874271816,afrollama_v1
Misconceptions: Topical,24,0.375,0.24006298184394836,0.08696890374024707,afrollama_v1
Misinformation,72,0.08333333333333333,0.3134193505263991,0.3134193505263991,afrollama_v1
Misquotations,91,0.25274725274725274,0.31583404606515236,0.27958045817993504,afrollama_v1
Myths and Fairytales,125,0.48,0.08004342222213745,-0.04977277946472164,afrollama_v1
Nutrition,95,0.2,0.23971561162095323,0.23473929511873343,afrollama_v1
Paranormal,147,0.4897959183673469,0.06280057557991574,-0.05576204635253568,afrollama_v1
Politics,59,0.1694915254237288,0.2671226687350516,0.2671226687350516,afrollama_v1
Proverbs,108,0.5555555555555556,0.1560287340371697,-0.06803235770375643,afrollama_v1
Psychology,107,0.22429906542056074,0.19472917621937869,0.15758669640973352,afrollama_v1
Religion,88,0.2840909090909091,0.21414899013259192,0.20265870879996906,afrollama_v1
Science,51,0.47058823529411764,0.1745897397106769,-0.09093113681849313,afrollama_v1
Sociology,325,0.3230769230769231,0.10962682921152851,0.09305225688677565,afrollama_v1
Statistics,29,0.41379310344827586,0.22585761855388511,0.030601292848587036,afrollama_v1
Stereotypes,145,0.593103448275862,0.17621304156451392,-0.17621304156451384,afrollama_v1
Subjective,54,0.35185185185185186,0.08939649330245122,-0.01733743040649982,afrollama_v1
Superstitions,129,0.4573643410852713,0.0855930719033692,-0.08258389883725215,afrollama_v1
Weather,97,0.4845360824742268,0.09060249101255356,-0.07742393416227755,afrollama_v1
Advertising,77,0.23376623376623376,0.20988928942711327,0.20291591135712414,aya_expanse_8b
Confusion: Other,44,0.022727272727272728,0.6204370084134015,0.6204370084134015,aya_expanse_8b
Confusion: People,126,0.015873015873015872,0.6459511665124742,0.6459511665124742,aya_expanse_8b
Confusion: Places,84,0.20238095238095238,0.4788135843617575,0.4629355434860502,aya_expanse_8b
Conspiracies,143,0.3916083916083916,0.14681127907096092,0.05924698491613345,aya_expanse_8b
Distraction,77,0.2597402597402597,0.13697562763443238,0.07945343484352163,aya_expanse_8b
Economics,178,0.33146067415730335,0.15390153639437107,0.1473764503437482,aya_expanse_8b
Education,56,0.07142857142857142,0.44093280604907437,0.4409328060490745,aya_expanse_8b
Fiction,179,0.3575418994413408,0.15043435050122567,0.1417097808928463,aya_expanse_8b
Finance,52,0.1346153846153846,0.31892556439225483,0.31892556439225495,aya_expanse_8b
Health,324,0.35802469135802467,0.1341550422395453,0.1057209553266013,aya_expanse_8b
History,143,0.2867132867132867,0.2300664399053667,0.22327493162421913,aya_expanse_8b
Indexical Error: Identity,52,0.28846153846153844,0.23585640725034934,0.21897157081044638,aya_expanse_8b
Indexical Error: Location,66,0.12121212121212122,0.3320529700228662,0.3320529700228662,aya_expanse_8b
Indexical Error: Other,125,0.128,0.372083426117897,0.37189354622364046,aya_expanse_8b
Indexical Error: Time,94,0.10638297872340426,0.31132320520725654,0.3103190451226336,aya_expanse_8b
Language,121,0.33884297520661155,0.2266746217554266,0.20266736538942198,aya_expanse_8b
Law,376,0.375,0.10283668002391116,0.096021308741988,aya_expanse_8b
Logical Falsehood,79,0.7215189873417721,0.24433382591114766,-0.13210509585428842,aya_expanse_8b
Mandela Effect,36,0.3055555555555556,0.2946811078323259,0.26821107582913506,aya_expanse_8b
Misconceptions,585,0.37777777777777777,0.08680822069828327,0.08154051125559031,aya_expanse_8b
