language,domain,n,accuracy
amh,elementary_mathematics,100,0.52
amh,global_facts,100,0.33
amh,high_school_geography,100,0.38
amh,high_school_microeconomics,100,0.3
amh,international_law,100,0.45
eng,elementary_mathematics,100,0.65
eng,global_facts,100,0.42
eng,high_school_geography,100,0.86
eng,high_school_microeconomics,100,0.89
eng,international_law,100,0.8
ewe,elementary_mathematics,100,0.38
ewe,global_facts,100,0.27
ewe,high_school_geography,100,0.31
ewe,high_school_microeconomics,100,0.26
ewe,international_law,100,0.45
fra,elementary_mathematics,100,0.62
fra,global_facts,100,0.41
fra,high_school_geography,100,0.74
fra,high_school_microeconomics,100,0.79
fra,international_law,100,0.74
hau,elementary_mathematics,100,0.45
hau,global_facts,100,0.28
hau,high_school_geography,100,0.25
hau,high_school_microeconomics,100,0.29
hau,international_law,100,0.45
ibo,elementary_mathematics,100,0.47
ibo,global_facts,100,0.28
ibo,high_school_geography,100,0.31
ibo,high_school_microeconomics,100,0.26
ibo,international_law,100,0.47
kin,elementary_mathematics,100,0.4
kin,global_facts,100,0.29
kin,high_school_geography,100,0.31
kin,high_school_microeconomics,100,0.31
kin,international_law,100,0.47
lin,elementary_mathematics,100,0.46
lin,global_facts,100,0.32
lin,high_school_geography,100,0.36
lin,high_school_microeconomics,100,0.38
lin,international_law,100,0.44
lug,elementary_mathematics,100,0.37
lug,global_facts,100,0.29
lug,high_school_geography,100,0.32
lug,high_school_microeconomics,100,0.38
lug,international_law,100,0.48
orm,elementary_mathematics,100,0.44
orm,global_facts,100,0.29
orm,high_school_geography,100,0.32
orm,high_school_microeconomics,100,0.29
orm,international_law,100,0.42
sna,elementary_mathematics,100,0.39
sna,global_facts,100,0.27
sna,high_school_geography,100,0.37
sna,high_school_microeconomics,100,0.3
sna,international_law,100,0.46
sot,elementary_mathematics,100,0.42
sot,global_facts,100,0.3
sot,high_school_geography,100,0.4
sot,high_school_microeconomics,100,0.32
sot,international_law,100,0.39
swa,elementary_mathematics,100,0.45
swa,global_facts,100,0.28
swa,high_school_geography,100,0.38
swa,high_school_microeconomics,100,0.35
swa,international_law,100,0.49
twi,elementary_mathematics,100,0.42
twi,global_facts,100,0.23
twi,high_school_geography,100,0.26
twi,high_school_microeconomics,100,0.28
twi,international_law,100,0.45
wol,elementary_mathematics,100,0.36
wol,global_facts,100,0.34
wol,high_school_geography,100,0.35
wol,high_school_microeconomics,100,0.28
wol,international_law,100,0.37
xho,elementary_mathematics,100,0.39
xho,global_facts,100,0.24
xho,high_school_geography,100,0.37
xho,high_school_microeconomics,100,0.29
xho,international_law,100,0.4
yor,elementary_mathematics,100,0.4
yor,global_facts,100,0.3
yor,high_school_geography,100,0.35
yor,high_school_microeconomics,100,0.26
yor,international_law,100,0.51
zul,elementary_mathematics,100,0.38
zul,global_facts,100,0.29
zul,high_school_geography,100,0.29
zul,high_school_microeconomics,100,0.35
zul,international_law,100,0.47
