language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.5865739583969116,0.5,0.396,0.492,0.5794701986754967
amh,0.6,0.5215180516242981,0.6,0.396,0.46,0.46357615894039733
amh,0.7,0.46521061658859253,0.7,0.396,0.43714285714285717,0.347682119205298
amh,0.8,0.4243462085723877,0.8,0.396,0.4225,0.23509933774834438
amh,0.9,0.37463313341140747,0.9,0.396,0.4088888888888889,0.11920529801324503
eng,0.5,0.9926241636276245,0.5,0.724,0.94,0.8913043478260869
eng,0.6,0.9600721001625061,0.6,0.724,0.91,0.8043478260869565
eng,0.7,0.8736397624015808,0.7,0.724,0.8628571428571429,0.6521739130434783
eng,0.8,0.7358913421630859,0.8,0.724,0.8175,0.47101449275362317
eng,0.9,0.611046552658081,0.9,0.724,0.7777777777777778,0.2753623188405797
ewe,0.5,0.5566747188568115,0.5,0.334,0.38,0.5345345345345346
ewe,0.6,0.5015219449996948,0.6,0.334,0.36666666666666664,0.4294294294294294
ewe,0.7,0.46331119537353516,0.7,0.334,0.37714285714285717,0.34534534534534533
ewe,0.8,0.4181874692440033,0.8,0.334,0.36,0.23123123123123124
ewe,0.9,0.36891084909439087,0.9,0.334,0.3511111111111111,0.12312312312312312
fra,0.5,0.975482165813446,0.5,0.66,0.88,0.8235294117647058
fra,0.6,0.9084438681602478,0.6,0.66,0.8233333333333334,0.6882352941176471
fra,0.7,0.7966488599777222,0.7,0.66,0.7857142857142857,0.5588235294117647
fra,0.8,0.6508646011352539,0.8,0.66,0.7275,0.3588235294117647
fra,0.9,0.5349373817443848,0.9,0.66,0.6866666666666666,0.17058823529411765
hau,0.5,0.5300644636154175,0.5,0.344,0.404,0.5457317073170732
hau,0.6,0.48240649700164795,0.6,0.344,0.4033333333333333,0.45426829268292684
hau,0.7,0.4310339093208313,0.702,0.344,0.38746438746438744,0.3445121951219512
hau,0.8,0.39188408851623535,0.8,0.344,0.355,0.21341463414634146
hau,0.9,0.3568633198738098,0.9,0.344,0.3466666666666667,0.10365853658536585
ibo,0.5,0.5272991061210632,0.5,0.358,0.452,0.573208722741433
