language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,ece_lo,ece_hi,acc_lo,acc_hi
amh,500,0.396,0.6207026576399803,0.22470265763998037,0.2856731790860811,0.22470265763998032,0.6305104020335809,0.1862626726746559,0.2724860707491637,0.352,0.44
eng,500,0.724,0.8881855387687683,0.1641855387687683,0.17759370796654655,0.1641855387687683,0.8532908959884699,0.13028722204566,0.20124505489468572,0.6839500000000001,0.764
ewe,500,0.334,0.5827236732244492,0.24872367322444922,0.28381007490207355,0.24872367322444916,0.6035856215496934,0.20861113374978305,0.2925234099298716,0.294,0.37404999999999994
fra,500,0.66,0.854926385998726,0.20043003201484683,0.22558903609062667,0.19492638599872592,0.7947147950089126,0.16868362090736633,0.24348291474431752,0.622,0.7
hau,500,0.344,0.5657225180268287,0.22936708790063862,0.27713449765969755,0.22172251802682874,0.599608267158253,0.18959488501697777,0.2691980477511883,0.302,0.388
ibo,500,0.358,0.5697029856443405,0.21170298564434054,0.2642531316811127,0.21170298564434054,0.6387772150576932,0.17945262436568735,0.25807901391536,0.316,0.40004999999999996
kin,500,0.356,0.5736123747229576,0.21761237472295758,0.28906751724354984,0.21761237472295758,0.5680263800683927,0.18074208692461252,0.26282927361130715,0.31395,0.4
lin,500,0.392,0.658665756225586,0.26666575622558597,0.3080824936320028,0.26666575622558597,0.623858754027927,0.22452365689128642,0.3102862941250205,0.35195,0.436
lug,500,0.368,0.5772752184271812,0.20927521842718122,0.27804333248980706,0.20927521842718122,0.5964501926252064,0.17151542863845826,0.25135780991464857,0.322,0.414
orm,500,0.352,0.5540291393399238,0.20202913933992386,0.2689046525397405,0.20202913933992384,0.5900936447811449,0.16056670667380096,0.2432000000193715,0.312,0.396
sna,500,0.358,0.6017841579318046,0.2437841579318047,0.27739068080708873,0.24378415793180463,0.6496806418489706,0.20485707993954422,0.2865442846745253,0.314,0.404
sot,500,0.366,0.5909965324997902,0.2249965324997902,0.2806323187805051,0.22499653249979024,0.6159176707865749,0.1851909783959389,0.2670476150497794,0.324,0.41
swa,500,0.39,0.6171626306772232,0.22716263067722325,0.2714929045392079,0.2271626306772232,0.6664733081126524,0.19005669477283954,0.2641374487876892,0.346,0.43
twi,500,0.328,0.5759183749556541,0.24791837495565416,0.27472607011202127,0.2479183749556541,0.6283663617886179,0.20920824272632602,0.288024826207757,0.286,0.37004999999999993
wol,500,0.34,0.5807049481272697,0.24364252930879593,0.2958299340807869,0.24070494812726967,0.5689928698752228,0.2053527835726738,0.2869028167381883,0.3,0.384
xho,500,0.338,0.5944894672036171,0.2564894672036171,0.29573815773551987,0.25648946720361704,0.5885071238313162,0.21966308478862046,0.2969649695903063,0.298,0.376
yor,500,0.364,0.591865259706974,0.22786525970697402,0.2687195387501764,0.22786525970697402,0.6455525606469004,0.18958872400075194,0.2690679801940918,0.32395,0.40404999999999996
zul,500,0.356,0.5771109603047371,0.22202381426095966,0.2778263449003987,0.2211109603047371,0.6038017307558099,0.18350872377008204,0.26587580555826423,0.31595,0.398
