language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
eng,0.5,0.8722089752400832,0.5,0.83,0.9,0.7058823529411765
eng,0.7,0.7838060639408642,0.7,0.83,0.8761904761904762,0.49019607843137253
eng,0.9,0.6714437643860002,0.9,0.83,0.8592592592592593,0.2549019607843137
swa,0.5,0.6998603722707725,0.5,0.6166666666666667,0.68,0.5826086956521739
swa,0.7,0.6455531626617094,0.7,0.6166666666666667,0.6619047619047619,0.3826086956521739
swa,0.9,0.5200260567903484,0.9,0.6166666666666667,0.6407407407407407,0.1565217391304348
yor,0.5,0.6707415889308537,0.5,0.45,0.5266666666666666,0.5696969696969697
yor,0.7,0.585651437523678,0.7,0.45,0.5095238095238095,0.37575757575757573
yor,0.9,0.4612424889499206,0.9,0.45,0.4777777777777778,0.14545454545454545
hau,0.5,0.6659421240745172,0.5,0.44,0.52,0.5714285714285714
hau,0.7,0.5922279067976076,0.7,0.44,0.49523809523809526,0.36904761904761907
hau,0.9,0.46390912751996766,0.9,0.44,0.4740740740740741,0.15476190476190477
amh,0.5,0.6427396211200055,0.5,0.3433333333333333,0.4066666666666667,0.5482233502538071
amh,0.7,0.5573850636798129,0.7,0.3433333333333333,0.40476190476190477,0.36548223350253806
amh,0.9,0.46074435275247116,0.9,0.3433333333333333,0.36666666666666664,0.1319796954314721
nso,0.5,0.6170312148774074,0.5,0.32,0.4666666666666667,0.6078431372549019
nso,0.7,0.5459687899936988,0.7,0.32,0.3904761904761905,0.37254901960784315
nso,0.9,0.43055725244512494,0.9,0.32,0.34814814814814815,0.13725490196078433
