language,domain,n,accuracy
amh,elementary_mathematics,100,0.26
amh,global_facts,100,0.26
amh,high_school_geography,100,0.28
amh,high_school_microeconomics,100,0.22
amh,international_law,100,0.27
eng,elementary_mathematics,100,0.39
eng,global_facts,100,0.37
eng,high_school_geography,100,0.44
eng,high_school_microeconomics,100,0.32
eng,international_law,100,0.26
ewe,elementary_mathematics,100,0.3
ewe,global_facts,100,0.15
ewe,high_school_geography,100,0.27
ewe,high_school_microeconomics,100,0.25
ewe,international_law,100,0.25
fra,elementary_mathematics,100,0.33
fra,global_facts,100,0.31
fra,high_school_geography,100,0.24
fra,high_school_microeconomics,100,0.28
fra,international_law,100,0.24
hau,elementary_mathematics,100,0.35
hau,global_facts,100,0.37
hau,high_school_geography,100,0.27
hau,high_school_microeconomics,100,0.24
hau,international_law,100,0.24
ibo,elementary_mathematics,100,0.32
ibo,global_facts,100,0.2
ibo,high_school_geography,100,0.25
ibo,high_school_microeconomics,100,0.24
ibo,international_law,100,0.25
kin,elementary_mathematics,100,0.33
kin,global_facts,100,0.3
kin,high_school_geography,100,0.18
kin,high_school_microeconomics,100,0.28
kin,international_law,100,0.2
lin,elementary_mathematics,100,0.31
lin,global_facts,100,0.33
lin,high_school_geography,100,0.27
lin,high_school_microeconomics,100,0.27
lin,international_law,100,0.25
lug,elementary_mathematics,100,0.36
lug,global_facts,100,0.23
lug,high_school_geography,100,0.29
lug,high_school_microeconomics,100,0.35
lug,international_law,100,0.25
orm,elementary_mathematics,100,0.3
orm,global_facts,100,0.21
orm,high_school_geography,100,0.29
orm,high_school_microeconomics,100,0.28
orm,international_law,100,0.29
sna,elementary_mathematics,100,0.37
sna,global_facts,100,0.26
sna,high_school_geography,100,0.31
sna,high_school_microeconomics,100,0.28
sna,international_law,100,0.3
sot,elementary_mathematics,100,0.4
sot,global_facts,100,0.27
sot,high_school_geography,100,0.27
sot,high_school_microeconomics,100,0.17
sot,international_law,100,0.31
swa,elementary_mathematics,100,0.4
swa,global_facts,100,0.35
swa,high_school_geography,100,0.26
swa,high_school_microeconomics,100,0.27
swa,international_law,100,0.19
twi,elementary_mathematics,100,0.34
twi,global_facts,100,0.24
twi,high_school_geography,100,0.25
twi,high_school_microeconomics,100,0.21
twi,international_law,100,0.23
wol,elementary_mathematics,100,0.36
wol,global_facts,100,0.19
wol,high_school_geography,100,0.26
wol,high_school_microeconomics,100,0.22
wol,international_law,100,0.29
xho,elementary_mathematics,100,0.41
xho,global_facts,100,0.32
xho,high_school_geography,100,0.24
xho,high_school_microeconomics,100,0.25
xho,international_law,100,0.26
yor,elementary_mathematics,100,0.38
yor,global_facts,100,0.3
yor,high_school_geography,100,0.33
yor,high_school_microeconomics,100,0.21
yor,international_law,100,0.23
zul,elementary_mathematics,100,0.39
zul,global_facts,100,0.28
zul,high_school_geography,100,0.31
zul,high_school_microeconomics,100,0.28
zul,international_law,100,0.29
