language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.36330533027648926,0.5,0.258,0.224,0.477088948787062
amh,0.6,0.34119510650634766,0.6,0.258,0.24333333333333335,0.3881401617250674
amh,0.7,0.32070353627204895,0.7,0.258,0.24,0.2830188679245283
amh,0.8,0.3011983036994934,0.8,0.258,0.2525,0.1940700808625337
amh,0.9,0.2853902578353882,0.9,0.258,0.2511111111111111,0.09164420485175202
eng,0.5,0.5447579622268677,0.5,0.356,0.432,0.5590062111801242
eng,0.6,0.4960077404975891,0.6,0.356,0.4066666666666667,0.4472049689440994
eng,0.7,0.4430612027645111,0.7,0.356,0.39714285714285713,0.3447204968944099
eng,0.8,0.4011865258216858,0.8,0.356,0.3825,0.2329192546583851
eng,0.9,0.35073232650756836,0.9,0.356,0.3688888888888889,0.11801242236024845
ewe,0.5,0.43053731322288513,0.5,0.244,0.276,0.5211640211640212
ewe,0.6,0.39883679151535034,0.6,0.244,0.26666666666666666,0.41798941798941797
ewe,0.7,0.37112268805503845,0.7,0.244,0.2571428571428571,0.31216931216931215
ewe,0.8,0.33887413144111633,0.8,0.244,0.25,0.20634920634920634
ewe,0.9,0.31522634625434875,0.9,0.244,0.24666666666666667,0.10317460317460317
fra,0.5,0.5094607472419739,0.5,0.28,0.3,0.5138888888888888
fra,0.6,0.4605140686035156,0.6,0.28,0.31,0.425
fra,0.7,0.4184369742870331,0.7,0.28,0.3,0.3194444444444444
fra,0.8,0.38700756430625916,0.8,0.28,0.295,0.21666666666666667
fra,0.9,0.34915414452552795,0.9,0.28,0.2866666666666667,0.10833333333333334
hau,0.5,0.434376060962677,0.5,0.294,0.332,0.5269121813031161
hau,0.6,0.4042763113975525,0.6,0.294,0.31333333333333335,0.4164305949008499
hau,0.7,0.37873464822769165,0.7,0.294,0.3142857142857143,0.32011331444759206
hau,0.8,0.3456839919090271,0.8,0.294,0.3075,0.21529745042492918
hau,0.9,0.3151553273200989,0.9,0.294,0.3022222222222222,0.11048158640226628
ibo,0.5,0.44969120621681213,0.5,0.252,0.268,0.5106951871657754
ibo,0.6,0.4171021282672882,0.6,0.252,0.2633333333333333,0.4090909090909091
ibo,0.7,0.37999045848846436,0.7,0.252,0.26,0.3074866310160428
ibo,0.8,0.35323140025138855,0.8,0.252,0.26,0.20855614973262032
ibo,0.9,0.31723546981811523,0.9,0.252,0.25333333333333335,0.10160427807486631
kin,0.5,0.44124358892440796,0.5,0.258,0.256,0.49865229110512127
kin,0.6,0.4039236605167389,0.6,0.258,0.27,0.40970350404312667
kin,0.7,0.37162190675735474,0.7,0.258,0.26,0.3018867924528302
kin,0.8,0.3477622866630554,0.8,0.258,0.26,0.20215633423180593
kin,0.9,0.32096725702285767,0.9,0.258,0.26222222222222225,0.10512129380053908
lin,0.5,0.4619460105895996,0.5,0.286,0.268,0.48739495798319327
lin,0.6,0.42029860615730286,0.6,0.286,0.27666666666666667,0.39215686274509803
lin,0.7,0.392408549785614,0.7,0.286,0.2714285714285714,0.2857142857142857
lin,0.8,0.3612712621688843,0.8,0.286,0.295,0.21008403361344538
lin,0.9,0.3365854322910309,0.9,0.286,0.29333333333333333,0.1092436974789916
lug,0.5,0.420764684677124,0.5,0.296,0.308,0.5085227272727273
lug,0.6,0.3937179744243622,0.6,0.296,0.3,0.4034090909090909
lug,0.7,0.36336883902549744,0.7,0.296,0.3028571428571429,0.3068181818181818
lug,0.8,0.3363035023212433,0.8,0.296,0.3025,0.20738636363636365
lug,0.9,0.3090555965900421,0.9,0.296,0.30444444444444446,0.11079545454545454
orm,0.5,0.4300359785556793,0.5,0.274,0.284,0.5068870523415978
orm,0.6,0.40051600337028503,0.6,0.274,0.3,0.4214876033057851
orm,0.7,0.3700779378414154,0.7,0.274,0.2857142857142857,0.31129476584022037
orm,0.8,0.34078264236450195,0.8,0.274,0.28,0.2066115702479339
orm,0.9,0.30863481760025024,0.9,0.274,0.2733333333333333,0.09917355371900827
sna,0.5,0.4634729325771332,0.5,0.304,0.3,0.49712643678160917
sna,0.6,0.4262751340866089,0.6,0.304,0.31333333333333335,0.40804597701149425
sna,0.7,0.39110031723976135,0.7,0.304,0.30857142857142855,0.3045977011494253
sna,0.8,0.3595810830593109,0.8,0.304,0.2975,0.1925287356321839
