language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,ece_lo,ece_hi,acc_lo,acc_hi
amh,500,0.258,0.3960028374791145,0.14729614275693892,0.2290888140329277,0.13800283747911452,0.46062391608683845,0.23739001048123148,0.1161320677816868,0.1922774752691388,0.224,0.294
eng,500,0.356,0.5806069858074189,0.2246069858074188,0.282618561480666,0.2246069858074189,0.6088003349849954,0.44920107702640444,0.18612541602253913,0.2679489552125335,0.316,0.398
ewe,500,0.244,0.4829252126812935,0.23892521268129346,0.25766408078638187,0.23892521268129352,0.5501127591291526,0.27597113675113527,0.20017051704972982,0.2781361585527658,0.208,0.282
fra,500,0.28,0.5475345959067345,0.2675345959067345,0.288457723705751,0.26753459590673445,0.5634722222222223,0.3260866072908478,0.22873508529067038,0.30752989194840186,0.238,0.318
hau,500,0.294,0.48421748650074004,0.19021748650074002,0.2501764312700302,0.19021748650074005,0.5752057196816405,0.3528998800210673,0.1526484839692712,0.232390515884757,0.25595,0.33
ibo,500,0.252,0.4967810302376747,0.24478103023767472,0.26796780274897797,0.24478103023767472,0.5358203887615651,0.28058688903408635,0.20607744028419256,0.2847898788541556,0.21395,0.292
kin,500,0.258,0.4758487818837166,0.2178487818837166,0.2528326873875331,0.2178487818837166,0.5323345661213147,0.29012322406061514,0.18162437749654053,0.2583854616239667,0.22,0.2960499999999999
lin,500,0.286,0.5083285611271858,0.22232856112718585,0.280525694647321,0.22232856112718585,0.4973066149536738,0.2978820667141845,0.1869762355253101,0.26688238125741476,0.248,0.326
lug,500,0.296,0.46169323194026946,0.1665377199649811,0.2496419249922651,0.16569323194026947,0.5351658476658476,0.3303809398760664,0.13443928834199903,0.21080245709270234,0.25795,0.338
orm,500,0.274,0.46911644977331163,0.19892186313867566,0.2594155950006162,0.1951164497733116,0.5146488106010335,0.27174488792434204,0.15755138437449934,0.23867909899055959,0.238,0.316
sna,500,0.304,0.503803313434124,0.21969421905279163,0.27983376703938195,0.199803313434124,0.5044426799758016,0.3076172455049124,0.17932119330465793,0.26083026993423697,0.264,0.34204999999999997
sot,500,0.284,0.49605006486177444,0.2120500648617744,0.27689149376800515,0.21205006486177447,0.5025179007002911,0.283652922397593,0.18060720141977074,0.2608030708447099,0.244,0.32404999999999995
swa,500,0.294,0.4819412965774536,0.1879412965774536,0.2499317833793116,0.18794129657745362,0.5861131988206048,0.35218938582316667,0.14724921759814025,0.22730834781974554,0.25595,0.334
twi,500,0.254,0.4993868781328201,0.2472823531627655,0.2784832756994361,0.24538687813282012,0.48789343691287923,0.24894706014654103,0.21533735871911047,0.2905907194256782,0.216,0.294
wol,500,0.264,0.49122049468755724,0.2272204946875572,0.26204058505141314,0.22722049468755723,0.5383934453227931,0.29753213414745705,0.1885421549022198,0.26533749511390925,0.22595,0.304
xho,500,0.296,0.45812707901000976,0.16212707901000975,0.2523287500267946,0.16212707901000978,0.5213644041769042,0.31993401506437424,0.12552987567633392,0.20199862134158614,0.254,0.334
yor,500,0.29,0.480462208211422,0.19216841489076614,0.26032151831079947,0.190462208211422,0.5488101019912578,0.3234729788338883,0.159964319267869,0.23771319630593055,0.25,0.332
zul,500,0.31,0.4814701269865036,0.1714701269865036,0.2615720333258872,0.1714701269865036,0.5247498831229547,0.3334583765892317,0.14176471420377496,0.21789588668197396,0.27,0.354
