language,n_cal,n_eval,temperature,ece_before,ece_after,overconf_before,overconf_after,ece_reduction
amh,250,250,3.0,0.14244779530092283,0.038289843477895665,0.1272707768641705,0.03144076454274608,0.10415795182302717
eng,250,250,3.0,0.2552891424037843,0.07223384212500267,0.25528914240378436,0.05877207065706852,0.18305530027878164
ewe,250,250,5.0,0.23735332780315557,0.05528751390047668,0.2373533278031555,0.05384980353290025,0.1820658139026789
fra,250,250,5.0,0.2786586740765148,0.05145203939920424,0.2786586740765148,0.04881078176884024,0.22720663467731056
hau,250,250,5.0,0.1894959381795229,0.04303851396357598,0.17840936781706657,0.002616330677158385,0.14645742421594693
ibo,250,250,5.0,0.24230187706201545,0.05213329220496264,0.24230187706201534,0.05051925187288753,0.1901685848570528
kin,250,250,5.0,0.21504244766242822,0.08511915846427044,0.21077282247160983,0.04312730701002704,0.12992328919815777
lin,250,250,5.0,0.20833606573473432,0.028860923756569172,0.20833606573473423,0.015748922862576842,0.17947514197816514
lug,250,250,5.0,0.15983396130720032,0.016366887843331096,0.1598339613072003,-0.002968705536372407,0.14346707346386922
orm,250,250,5.0,0.18643411450633976,0.05295056225712792,0.18558380199949415,0.015836440458269374,0.13348355224921182
sna,250,250,3.0,0.23112087755549238,0.05760353675915674,0.20504252548532365,0.05079894628093917,0.17351734079633563
sot,250,250,5.0,0.18225262563279387,0.023971504628099015,0.18225262563279387,-0.006106738752196694,0.15828112100469485
swa,250,250,5.0,0.21589926361744158,0.05702667008826193,0.21589926361744155,0.040649302960911904,0.15887259352917965
twi,250,250,5.0,0.246352199350402,0.08855156550421417,0.2443788712202153,0.06146216427934226,0.15780063384618784
wol,250,250,5.0,0.23036416281807925,0.06263873904536005,0.2303641628180792,0.03755608814377709,0.1677254237727192
xho,250,250,3.0,0.2004234507123034,0.06575581939517473,0.20042345071230339,0.06320432480303723,0.13466763131712867
yor,250,250,5.0,0.18869436212009694,0.04139398332625931,0.17653342515164094,-0.003755721098840592,0.14730037879383762
zul,250,250,5.0,0.1683071684311132,0.08023883447725341,0.1605013658935187,-0.0194438424383922,0.0880683339538598
ALL,4500,4500,,0.205511417115059,0.030411998950420665,0.20551141711505894,0.030117638445815553,0.17509941816463834
