language,n,auroc_maxprob,auroc_entropy,auroc_margin
amh,500,0.46062391608683845,0.46300591320336826,0.466746066570551
eng,500,0.6088003349849954,0.6173843254937539,0.5945634726777863
ewe,500,0.5501127591291526,0.5633185879087519,0.5317135050741608
fra,500,0.5634722222222223,0.5660714285714286,0.5660714285714286
hau,500,0.5752057196816405,0.5766895993524889,0.5631323350870094
ibo,500,0.5358203887615651,0.5512477718360071,0.5224832357185298
kin,500,0.5323345661213147,0.5265467310223783,0.5332225913621262
lin,500,0.4973066149536738,0.5016943840473252,0.5036727977904448
lug,500,0.5351658476658476,0.5391584766584767,0.5307701167076168
orm,500,0.5146488106010335,0.5113912851139129,0.5157547606120931
sna,500,0.5044426799758016,0.5159180278281912,0.4946215214761041
sot,500,0.5025179007002911,0.5364308757573373,0.4700999291840428
swa,500,0.5861131988206048,0.5877512478079051,0.5885991790483899
twi,500,0.48789343691287923,0.5179118025796373,0.4583817103291043
wol,500,0.5383934453227931,0.5568593544137023,0.5202775032938076
xho,500,0.5213644041769042,0.5233415233415234,0.5152986793611793
yor,500,0.5488101019912578,0.5451578436134046,0.5356192326372025
zul,500,0.5247498831229547,0.5128564749883124,0.5346236559139785
ALL,9000,0.536238596609071,0.5429558577375437,0.5278393659301216
