language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.3652031421661377,0.4993726474278545,0.2936010037641154,0.34673366834170855,0.5381882770870338
amh,0.6,0.3442426919937134,0.5997490589711418,0.2936010037641154,0.33263598326359833,0.433392539964476
amh,0.7,0.3239148259162903,0.698870765370138,0.2936010037641154,0.3177737881508079,0.325044404973357
amh,0.8,0.30811256170272827,0.7992471769134254,0.2936010037641154,0.3092621664050236,0.21847246891651864
amh,0.9,0.2891119122505188,0.8996235884567126,0.2936010037641154,0.29567642956764295,0.10301953818827708
eng,0.5,0.4438726007938385,0.49938195302843014,0.29171817058096416,0.3341584158415842,0.5305410122164049
eng,0.6,0.40125772356987,0.5995055624227441,0.29171817058096416,0.32577319587628867,0.4293193717277487
eng,0.7,0.3612646162509918,0.6996291718170581,0.29171817058096416,0.3127208480565371,0.32111692844677137
eng,0.8,0.3217155337333679,0.799752781211372,0.29171817058096416,0.3075734157650695,0.2181500872600349
eng,0.9,0.2818151116371155,0.899876390605686,0.29171817058096416,0.3008241758241758,0.11169284467713787
hau,0.5,0.4111201763153076,0.5,0.3626237623762376,0.39851485148514854,0.5281553398058253
hau,0.6,0.38565197587013245,0.599009900990099,0.3626237623762376,0.4090909090909091,0.4446601941747573
hau,0.7,0.3645206093788147,0.6992574257425742,0.3626237623762376,0.39469026548672564,0.3359223300970874
hau,0.8,0.33983972668647766,0.7995049504950495,0.3626237623762376,0.38235294117647056,0.22524271844660193
hau,0.9,0.3170326054096222,0.8997524752475248,0.3626237623762376,0.3741403026134801,0.11650485436893204
nso,0.5,0.50663161277771,0.5,0.24628712871287128,0.29207920792079206,0.5303776683087028
nso,0.6,0.45622390508651733,0.599009900990099,0.24628712871287128,0.2871900826446281,0.43349753694581283
nso,0.7,0.41898107528686523,0.6992574257425742,0.24628712871287128,0.2761061946902655,0.3284072249589491
nso,0.8,0.3762117326259613,0.7995049504950495,0.24628712871287128,0.26160990712074306,0.21674876847290642
nso,0.9,0.338898628950119,0.8997524752475248,0.24628712871287128,0.2585969738651995,0.11494252873563218
swa,0.5,0.4276663064956665,0.4993804213135068,0.34076827757125155,0.37965260545905705,0.5300751879699248
swa,0.6,0.3977152407169342,0.5997521685254027,0.34076827757125155,0.384297520661157,0.4398496240601504
swa,0.7,0.36821484565734863,0.6988847583643123,0.34076827757125155,0.36524822695035464,0.32706766917293234
swa,0.8,0.3457767963409424,0.7992565055762082,0.34076827757125155,0.35658914728682173,0.2199248120300752
swa,0.9,0.3171972334384918,0.8996282527881041,0.34076827757125155,0.3512396694214876,0.11466165413533834
yor,0.5,0.38211822509765625,0.49938195302843014,0.37082818294190356,0.39603960396039606,0.5206286836935167
yor,0.6,0.3591524064540863,0.5995055624227441,0.37082818294190356,0.37938144329896906,0.4086444007858546
yor,0.7,0.34179526567459106,0.6996291718170581,0.37082818294190356,0.37279151943462896,0.3025540275049116
yor,0.8,0.321180522441864,0.799752781211372,0.37082818294190356,0.38176197836166925,0.21414538310412573
yor,0.9,0.2977592349052429,0.899876390605686,0.37082818294190356,0.37637362637362637,0.10805500982318271
zul,0.5,0.4279308319091797,0.5,0.33676092544987146,0.37017994858611825,0.5251937984496124
zul,0.6,0.3954879641532898,0.5989717223650386,0.33676092544987146,0.3626609442060086,0.42441860465116277
zul,0.7,0.36533936858177185,0.699228791773779,0.33676092544987146,0.35294117647058826,0.3178294573643411
zul,0.8,0.33886992931365967,0.7994858611825193,0.33676092544987146,0.3536977491961415,0.22093023255813954
zul,0.9,0.31239691376686096,0.8997429305912596,0.33676092544987146,0.35,0.1182170542635659
