language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.369448184967041,0.5,0.3345959595959596,0.39646464646464646,0.5464895635673624
amh,0.6,0.34876197576522827,0.5997474747474747,0.3345959595959596,0.3705263157894737,0.43263757115749524
amh,0.7,0.33099550008773804,0.6994949494949495,0.3345959595959596,0.3574007220216607,0.32447817836812143
amh,0.8,0.31435826420783997,0.7992424242424242,0.3345959595959596,0.34755134281200634,0.21631878557874762
amh,0.9,0.2929689288139343,0.898989898989899,0.3345959595959596,0.33848314606741575,0.1062618595825427
eng,0.5,0.43400076031684875,0.5,0.2997512437810945,0.31592039800995025,0.5115452930728241
eng,0.6,0.3961544930934906,0.599502487562189,0.2997512437810945,0.3112033195020747,0.4103019538188277
eng,0.7,0.3669465184211731,0.6990049751243781,0.2997512437810945,0.3167259786476868,0.31793960923623443
eng,0.8,0.3214780390262604,0.7997512437810945,0.2997512437810945,0.3094867807153966,0.2113676731793961
eng,0.9,0.2802133858203888,0.8992537313432836,0.2997512437810945,0.3084370677731674,0.11190053285968028
hau,0.5,0.4139435887336731,0.49937733499377335,0.37608966376089664,0.42643391521197005,0.5409181636726547
hau,0.6,0.38706594705581665,0.5990037359900373,0.37608966376089664,0.41372141372141374,0.437125748502994
hau,0.7,0.36509764194488525,0.6998754669987547,0.37608966376089664,0.398576512455516,0.3253493013972056
hau,0.8,0.3390474021434784,0.7995018679950187,0.37608966376089664,0.397196261682243,0.2275449101796407
hau,0.9,0.3168962895870209,0.8991282689912827,0.37608966376089664,0.38227146814404434,0.10978043912175649
nso,0.5,0.49221691489219666,0.49937733499377335,0.28019925280199254,0.3266832917705736,0.532871972318339
nso,0.6,0.44674691557884216,0.5990037359900373,0.28019925280199254,0.3284823284823285,0.4411764705882353
nso,0.7,0.4032885730266571,0.6998754669987547,0.28019925280199254,0.3167259786476868,0.3356401384083045
nso,0.8,0.36791232228279114,0.7995018679950187,0.28019925280199254,0.3068535825545171,0.2301038062283737
nso,0.9,0.3355358839035034,0.8991282689912827,0.28019925280199254,0.29362880886426596,0.11764705882352941
swa,0.5,0.4347684681415558,0.5,0.3428927680798005,0.38902743142144636,0.5351043643263758
swa,0.6,0.4062715470790863,0.5997506234413965,0.3428927680798005,0.3762993762993763,0.4307400379506641
swa,0.7,0.37416166067123413,0.699501246882793,0.3428927680798005,0.3689839572192513,0.32827324478178366
swa,0.8,0.3480500876903534,0.7992518703241895,0.3428927680798005,0.358814352574103,0.22011385199240988
swa,0.9,0.3167571723461151,0.899002493765586,0.3428927680798005,0.3522884882108183,0.11385199240986717
yor,0.5,0.3785383999347687,0.5,0.3818407960199005,0.43034825870646765,0.5392354124748491
yor,0.6,0.3555811643600464,0.599502487562189,0.3818407960199005,0.42323651452282157,0.44064386317907445
yor,0.7,0.3361119031906128,0.6990049751243781,0.3818407960199005,0.4092526690391459,0.3319919517102616
yor,0.8,0.31656312942504883,0.7997512437810945,0.3818407960199005,0.39502332814930013,0.21730382293762576
yor,0.9,0.29761266708374023,0.8992537313432836,0.3818407960199005,0.3914246196403873,0.11468812877263582
zul,0.5,0.4121285676956177,0.49935316946959896,0.35575679172056923,0.38860103626943004,0.5261044176706827
zul,0.6,0.3832273781299591,0.5989650711513583,0.35575679172056923,0.3801295896328294,0.42369477911646586
zul,0.7,0.3592158257961273,0.6998706338939198,0.35575679172056923,0.37707948243992606,0.3232931726907631
zul,0.8,0.3357444405555725,0.7994825355756792,0.35575679172056923,0.3737864077669903,0.22289156626506024
zul,0.9,0.30784696340560913,0.8990944372574385,0.35575679172056923,0.36546762589928056,0.1144578313253012
