language,domain,n,accuracy
amh,elementary_mathematics,100,0.4
amh,global_facts,100,0.25
amh,high_school_geography,100,0.22
amh,high_school_microeconomics,100,0.15
amh,international_law,100,0.18
eng,elementary_mathematics,100,0.64
eng,global_facts,100,0.58
eng,high_school_geography,100,0.51
eng,high_school_microeconomics,100,0.41
eng,international_law,100,0.46
ewe,elementary_mathematics,100,0.4
ewe,global_facts,100,0.29
ewe,high_school_geography,100,0.24
ewe,high_school_microeconomics,100,0.2
ewe,international_law,100,0.24
fra,elementary_mathematics,100,0.56
fra,global_facts,100,0.47
fra,high_school_geography,100,0.37
fra,high_school_microeconomics,100,0.36
fra,international_law,100,0.45
hau,elementary_mathematics,100,0.42
hau,global_facts,100,0.25
hau,high_school_geography,100,0.34
hau,high_school_microeconomics,100,0.22
hau,international_law,100,0.31
ibo,elementary_mathematics,100,0.43
ibo,global_facts,100,0.23
ibo,high_school_geography,100,0.23
ibo,high_school_microeconomics,100,0.22
ibo,international_law,100,0.2
kin,elementary_mathematics,100,0.4
kin,global_facts,100,0.24
kin,high_school_geography,100,0.27
kin,high_school_microeconomics,100,0.27
kin,international_law,100,0.25
lin,elementary_mathematics,100,0.45
lin,global_facts,100,0.35
lin,high_school_geography,100,0.25
lin,high_school_microeconomics,100,0.24
lin,international_law,100,0.23
lug,elementary_mathematics,100,0.4
lug,global_facts,100,0.26
lug,high_school_geography,100,0.32
lug,high_school_microeconomics,100,0.28
lug,international_law,100,0.23
orm,elementary_mathematics,100,0.39
orm,global_facts,100,0.29
orm,high_school_geography,100,0.28
orm,high_school_microeconomics,100,0.26
orm,international_law,100,0.25
sna,elementary_mathematics,100,0.44
sna,global_facts,100,0.25
sna,high_school_geography,100,0.24
sna,high_school_microeconomics,100,0.26
sna,international_law,100,0.28
sot,elementary_mathematics,100,0.48
sot,global_facts,100,0.29
sot,high_school_geography,100,0.31
sot,high_school_microeconomics,100,0.25
sot,international_law,100,0.19
swa,elementary_mathematics,100,0.43
swa,global_facts,100,0.29
swa,high_school_geography,100,0.36
swa,high_school_microeconomics,100,0.25
swa,international_law,100,0.23
twi,elementary_mathematics,100,0.46
twi,global_facts,100,0.32
twi,high_school_geography,100,0.24
twi,high_school_microeconomics,100,0.25
twi,international_law,100,0.21
wol,elementary_mathematics,100,0.41
wol,global_facts,100,0.21
wol,high_school_geography,100,0.31
wol,high_school_microeconomics,100,0.24
wol,international_law,100,0.21
xho,elementary_mathematics,100,0.36
xho,global_facts,100,0.28
xho,high_school_geography,100,0.24
xho,high_school_microeconomics,100,0.23
xho,international_law,100,0.17
yor,elementary_mathematics,100,0.42
yor,global_facts,100,0.27
yor,high_school_geography,100,0.28
yor,high_school_microeconomics,100,0.22
yor,international_law,100,0.31
zul,elementary_mathematics,100,0.4
zul,global_facts,100,0.31
zul,high_school_geography,100,0.24
zul,high_school_microeconomics,100,0.24
zul,international_law,100,0.27
