language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.31501680612564087,0.5,0.24,0.264,0.5157894736842106
amh,0.6,0.30202627182006836,0.6,0.24,0.25333333333333335,0.4105263157894737
amh,0.7,0.2910374402999878,0.7,0.24,0.24,0.3
amh,0.8,0.28278958797454834,0.8,0.24,0.2425,0.2026315789473684
amh,0.9,0.27316421270370483,0.9,0.24,0.24444444444444444,0.10526315789473684
eng,0.5,0.43970972299575806,0.5,0.52,0.648,0.6333333333333333
eng,0.6,0.4026549756526947,0.6,0.52,0.6233333333333333,0.5291666666666667
eng,0.7,0.3712886869907379,0.7,0.52,0.5942857142857143,0.4083333333333333
eng,0.8,0.34110450744628906,0.8,0.52,0.5575,0.2625
eng,0.9,0.31264156103134155,0.9,0.52,0.5311111111111111,0.12083333333333333
ewe,0.5,0.43590041995048523,0.5,0.274,0.304,0.5206611570247934
ewe,0.6,0.4032133221626282,0.6,0.274,0.28,0.4049586776859504
ewe,0.7,0.36782386898994446,0.7,0.274,0.28,0.30578512396694213
ewe,0.8,0.33496764302253723,0.8,0.274,0.275,0.20110192837465565
ewe,0.9,0.3035752773284912,0.9,0.274,0.2688888888888889,0.09366391184573003
fra,0.5,0.4379877746105194,0.5,0.442,0.5,0.5519713261648745
fra,0.6,0.40698176622390747,0.6,0.442,0.49333333333333335,0.4551971326164875
fra,0.7,0.3764650523662567,0.7,0.442,0.48857142857142855,0.35842293906810035
fra,0.8,0.3483186364173889,0.8,0.442,0.485,0.2616487455197133
fra,0.9,0.3196890354156494,0.9,0.442,0.46444444444444444,0.13620071684587814
hau,0.5,0.43733909726142883,0.5,0.308,0.352,0.5317919075144508
hau,0.6,0.3975226581096649,0.6,0.308,0.33666666666666667,0.42485549132947975
hau,0.7,0.3686921000480652,0.7,0.308,0.32,0.31213872832369943
hau,0.8,0.3371579349040985,0.8,0.308,0.315,0.20809248554913296
hau,0.9,0.3016729950904846,0.9,0.308,0.31333333333333335,0.1069364161849711
ibo,0.5,0.421974778175354,0.5,0.262,0.276,0.5094850948509485
ibo,0.6,0.3849217891693115,0.6,0.262,0.28,0.4146341463414634
ibo,0.7,0.3561709225177765,0.7,0.262,0.26857142857142857,0.3062330623306233
ibo,0.8,0.3238499164581299,0.8,0.262,0.2625,0.2005420054200542
ibo,0.9,0.3019154369831085,0.9,0.262,0.25555555555555554,0.0921409214092141
kin,0.5,0.41386809945106506,0.5,0.286,0.288,0.5014005602240896
kin,0.6,0.3758697211742401,0.6,0.286,0.29333333333333333,0.4061624649859944
kin,0.7,0.34539735317230225,0.7,0.286,0.29428571428571426,0.3081232492997199
kin,0.8,0.3224187195301056,0.8,0.286,0.2925,0.20728291316526612
kin,0.9,0.297155499458313,0.9,0.286,0.28444444444444444,0.09803921568627451
lin,0.5,0.4622974395751953,0.5,0.304,0.324,0.514367816091954
lin,0.6,0.42374902963638306,0.6,0.304,0.30333333333333334,0.3994252873563218
lin,0.7,0.387815922498703,0.7,0.304,0.3057142857142857,0.3017241379310345
lin,0.8,0.3543411195278168,0.8,0.304,0.3,0.19540229885057472
lin,0.9,0.3157951533794403,0.9,0.304,0.3022222222222222,0.09770114942528736
lug,0.5,0.4097229838371277,0.5,0.298,0.336,0.5270655270655271
lug,0.6,0.3775072991847992,0.6,0.298,0.34,0.4358974358974359
lug,0.7,0.3498363494873047,0.7,0.298,0.3457142857142857,0.3475783475783476
lug,0.8,0.3222634196281433,0.8,0.298,0.3225,0.22792022792022792
lug,0.9,0.2956524193286896,0.9,0.298,0.3111111111111111,0.1168091168091168
orm,0.5,0.42487576603889465,0.5,0.294,0.312,0.5127478753541076
orm,0.6,0.39107033610343933,0.6,0.294,0.31,0.41359773371104813
