language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,ece_lo,ece_hi,acc_lo,acc_hi
amh,500,0.24,0.3478432148694992,0.11353693687915804,0.19395552448305384,0.10784321486949922,0.550109649122807,0.2861049425461114,0.08401657818853857,0.15446960184574124,0.20395,0.28
eng,500,0.52,0.48293738180398943,0.05720183283090593,0.2303874589589512,-0.03706261819601059,0.6699519230769231,0.657503922493268,0.04847838826030491,0.11343053562343122,0.478,0.568
ewe,500,0.274,0.4838347355723381,0.21073816734552386,0.26413206732771577,0.20983473557233806,0.5356618608111641,0.29995826145341004,0.17561125038564207,0.2538370527908205,0.236,0.312
fra,500,0.442,0.48207329434156415,0.0707012258172035,0.24308597101654567,0.04007329434156415,0.6085891759516048,0.5275431979482554,0.057595412835478796,0.12447735344469546,0.402,0.4840499999999999
hau,500,0.308,0.47920065957307817,0.17209001487493514,0.2541867590077292,0.17120065957307817,0.5566023571803919,0.3528982227459899,0.1395271186515689,0.2154896902635694,0.26595,0.3460499999999999
ibo,500,0.262,0.47305081456899645,0.213997538626194,0.2644379253789702,0.21105081456899644,0.5163532551356048,0.2642650330098254,0.17729248343706133,0.2534641295745969,0.226,0.3
kin,500,0.286,0.4577648123502731,0.17176481235027316,0.24893292251268054,0.17176481235027313,0.5350140056022409,0.3144717891402764,0.13611142348498106,0.21295494402945045,0.24595,0.32404999999999995
lin,500,0.304,0.5101405856013298,0.20614058560132983,0.27913344300293896,0.2061405856013298,0.5187726860254084,0.3209612949538303,0.17926844888627527,0.2537526551544666,0.264,0.34204999999999997
lug,500,0.298,0.45830728763341905,0.160307287633419,0.24702715193321934,0.16030728763341906,0.5818849308782196,0.33599759104932087,0.13036236257702113,0.20538129412531853,0.258,0.336
orm,500,0.294,0.4655526697039604,0.1715526697039604,0.2530714453053329,0.17155266970396044,0.5328669711510667,0.32468896289422733,0.1413728644862771,0.22182985161393878,0.256,0.33204999999999996
sna,500,0.294,0.48147246956825257,0.19258994603157042,0.27914722272883613,0.1874724695682526,0.49380432059509355,0.2855438821194925,0.1589419478088617,0.23710977169871328,0.256,0.334
sot,500,0.304,0.4814326567053795,0.18351174515485763,0.2809957830178904,0.1774326567053795,0.4661222020568663,0.27772538698107985,0.15070369667410852,0.23036050821840767,0.264,0.344
swa,500,0.312,0.45772381871938705,0.15122503298521042,0.2530485243434386,0.14572381871938705,0.5213457811568276,0.3303360495941221,0.12033499693721535,0.1988334381893277,0.274,0.348
twi,500,0.296,0.46901368606090543,0.17445890748500828,0.26887748058454813,0.17301368606090545,0.49325284090909094,0.2856346257695569,0.14208757884055376,0.22144902909249067,0.25795,0.33604999999999996
wol,500,0.276,0.4877992935180664,0.2117992935180664,0.265462486388871,0.21179929351806637,0.5345103691248299,0.3031828194117754,0.17054063121229412,0.2557705121055245,0.236,0.314
xho,500,0.256,0.472193445622921,0.21705860692262646,0.26393485433366143,0.21619344562292098,0.48529905913978494,0.24597966585516795,0.183626471722126,0.25976317816525696,0.21595,0.294
yor,500,0.3,0.4544038035273552,0.1544038035273552,0.2451836628839921,0.15440380352735522,0.551104761904762,0.33858709475971904,0.11994881370067598,0.19656834119558336,0.262,0.342
zul,500,0.292,0.46531734758615495,0.17331734758615494,0.262364167411673,0.17331734758615497,0.4914480303382091,0.2865246827659778,0.14589500097036362,0.22138330000191928,0.252,0.33
