language,n_cal,n_eval,temperature,ece_before,ece_after,overconf_before,overconf_after,ece_reduction
amh,250,250,5.0,0.10058757019702137,0.026885501075085534,0.09157645004969889,0.01653726651883003,0.07370206912193583
eng,250,250,0.8,0.09050330783044648,0.10103827455683545,-0.0021021251623928316,0.042196337436099074,-0.01053496672638897
ewe,250,250,5.0,0.23331434103410034,0.04422579056849481,0.22947564451219943,0.044225790568494794,0.18908855046560552
fra,250,250,1.5,0.0918382140775538,0.10386524433965064,0.031238208048776916,-0.035971088221695036,-0.012027030262096838
hau,250,250,3.0,0.18684284079009045,0.041032746359132455,0.17058582112044718,0.02807884373031544,0.145810094430958
ibo,250,250,5.0,0.23317185710381613,0.05666739533860815,0.2331718571038161,0.05325934005289262,0.17650446176520798
kin,250,250,5.0,0.16765076329137144,0.026668848935446274,0.16556609179040777,0.00549949277513373,0.14098191435592516
lin,250,250,5.0,0.157250611302391,0.04981984730164361,0.14511650092920547,-0.04827749883671223,0.1074307640007474
lug,250,250,3.0,0.14112111140842762,0.04133730111266191,0.14112111140842765,0.009412519797221519,0.09978381029576572
orm,250,250,5.0,0.1988936409072113,0.042910456254387296,0.19889364090721118,0.030763496062417572,0.155983184652824
sna,250,250,5.0,0.1639122537769546,0.03153016061338864,0.16013577965206027,-0.0020568689126529427,0.13238209316356594
sot,250,250,5.0,0.21715492203343295,0.052637411915632475,0.20366434459581617,0.019435466538572477,0.16451751011780047
swa,250,250,5.0,0.18443330391837467,0.025072085991346492,0.18305095318842257,0.013107173856455934,0.15936121792702818
twi,250,250,5.0,0.17900403847339214,0.04748515238851158,0.17133132012449814,0.01028783675519196,0.13151888608488055
wol,250,250,5.0,0.2333586928862524,0.052018864798615866,0.23173273167731395,0.047785703307942407,0.18133982808763655
xho,250,250,5.0,0.2210163750012157,0.05453780643647139,0.21722945621792394,0.03857552399063685,0.16647856856474433
yor,250,250,5.0,0.15684203654353898,0.0275986712134365,0.15057805562052284,-0.010000775379764515,0.12924336533010247
zul,250,250,5.0,0.17963460693558353,0.057865718598629615,0.17101370361083884,-0.0027658276755564426,0.12176888833695391
ALL,4500,4500,,0.16103496347039403,0.02110621028036229,0.16074330807751075,0.014449596242434581,0.13992875319003173
