language,n,auroc_maxprob,auroc_entropy,auroc_margin
amh,500,0.550109649122807,0.5524780701754386,0.5397149122807018
eng,500,0.6699519230769231,0.6299679487179487,0.6866666666666666
ewe,500,0.5356618608111641,0.5402867426755946,0.5205405079326779
fra,500,0.6085891759516048,0.5991826010801342,0.6032858139119999
hau,500,0.5566023571803919,0.5586479993994444,0.550578034682081
ibo,500,0.5163532551356048,0.5280001654978382,0.4974244398932538
kin,500,0.5350140056022409,0.538912068323833,0.5289514407161466
lin,500,0.5187726860254084,0.50803463399879,0.5301913188142771
lug,500,0.5818849308782196,0.5781754909271688,0.5776401078414501
orm,500,0.5328669711510667,0.5275288585689233,0.5263533175309785
sna,500,0.49380432059509355,0.49397776107610186,0.4826463163168951
sot,500,0.4661222020568663,0.47782441016333943,0.45761494252873564
swa,500,0.5213457811568276,0.5194730172927847,0.5151870900417411
twi,500,0.49325284090909094,0.49083422911547914,0.4879933200245701
wol,500,0.5345103691248299,0.5440187364881095,0.5158939867083033
xho,500,0.48529905913978494,0.5006930443548387,0.47480888776881724
yor,500,0.551104761904762,0.5560190476190476,0.5305428571428572
zul,500,0.4914480303382091,0.4736862471944896,0.5187872455692284
ALL,9000,0.5435394537960925,0.5413265229686979,0.5375773961819763
