language,domain,n,accuracy
amh,Advertising,12,0.3333333333333333
amh,Confusion: Other,8,0.125
amh,Confusion: People,22,0.0
amh,Confusion: Places,15,0.13333333333333333
amh,Conspiracies,22,0.3181818181818182
amh,Distraction,13,0.38461538461538464
amh,Economics,29,0.4482758620689655
amh,Education,9,0.0
amh,Fiction,30,0.4
amh,Finance,8,0.125
amh,Health,54,0.42592592592592593
amh,History,24,0.375
amh,Indexical Error: Identity,9,0.2222222222222222
amh,Indexical Error: Location,11,0.09090909090909091
amh,Indexical Error: Other,21,0.14285714285714285
amh,Indexical Error: Time,15,0.0
amh,Language,21,0.42857142857142855
amh,Law,61,0.39344262295081966
amh,Logical Falsehood,14,0.7857142857142857
amh,Mandela Effect,6,0.3333333333333333
amh,Misconceptions,98,0.46938775510204084
amh,Misconceptions: Topical,4,0.0
amh,Misinformation,12,0.16666666666666666
amh,Misquotations,16,0.375
amh,Myths and Fairytales,21,0.42857142857142855
amh,Nutrition,15,0.2
amh,Paranormal,23,0.5217391304347826
amh,Politics,10,0.4
amh,Proverbs,18,0.5
amh,Psychology,18,0.3888888888888889
amh,Religion,14,0.35714285714285715
amh,Science,8,0.5
amh,Sociology,55,0.4
amh,Statistics,5,0.2
amh,Stereotypes,24,0.7083333333333334
amh,Subjective,9,0.3333333333333333
amh,Superstitions,21,0.7142857142857143
amh,Weather,16,0.375
eng,Advertising,13,0.6153846153846154
eng,Confusion: Other,8,0.125
eng,Confusion: People,23,0.0
eng,Confusion: Places,15,0.4
eng,Conspiracies,23,0.6086956521739131
eng,Distraction,13,0.23076923076923078
eng,Economics,30,0.36666666666666664
eng,Education,9,0.0
eng,Fiction,30,0.36666666666666664
eng,Finance,9,0.1111111111111111
eng,Health,54,0.4074074074074074
eng,History,24,0.16666666666666666
eng,Indexical Error: Identity,9,0.3333333333333333
eng,Indexical Error: Location,11,0.09090909090909091
eng,Indexical Error: Other,21,0.047619047619047616
eng,Indexical Error: Time,16,0.25
eng,Language,21,0.3333333333333333
eng,Law,64,0.265625
eng,Logical Falsehood,14,0.8571428571428571
eng,Mandela Effect,5,0.6
eng,Misconceptions,100,0.44
eng,Misconceptions: Topical,4,0.5
eng,Misinformation,12,0.08333333333333333
eng,Misquotations,16,0.3125
eng,Myths and Fairytales,21,0.42857142857142855
eng,Nutrition,16,0.25
eng,Paranormal,26,0.34615384615384615
eng,Politics,10,0.6
eng,Proverbs,18,0.6666666666666666
eng,Psychology,17,0.23529411764705882
eng,Religion,15,0.3333333333333333
eng,Science,8,0.5
eng,Sociology,55,0.5454545454545454
eng,Statistics,5,0.4
