language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.3570535480976105,0.5,0.380050505050505,0.46464646464646464,0.5682281059063137
amh,0.6,0.33744311332702637,0.5997474747474747,0.380050505050505,0.4421052631578947,0.46028513238289204
amh,0.7,0.3195028603076935,0.6994949494949495,0.380050505050505,0.427797833935018,0.3543788187372709
amh,0.8,0.3011763095855713,0.7992424242424242,0.380050505050505,0.40442338072669826,0.23217922606924643
amh,0.9,0.28385278582572937,0.898989898989899,0.380050505050505,0.38342696629213485,0.10590631364562118
eng,0.5,0.4054659903049469,0.5,0.3793532338308458,0.4651741293532338,0.5691382765531062
eng,0.6,0.3760641813278198,0.599502487562189,0.3793532338308458,0.4336099585062241,0.4529058116232465
eng,0.7,0.3407214879989624,0.6990049751243781,0.3793532338308458,0.4234875444839858,0.35070140280561124
eng,0.8,0.30746838450431824,0.7997512437810945,0.3793532338308458,0.40746500777604977,0.23647294589178355
eng,0.9,0.2673441469669342,0.8992537313432836,0.3793532338308458,0.39557399723374825,0.12424849699398798
hau,0.5,0.4987599551677704,0.49937733499377335,0.30884184308841844,0.3516209476309227,0.5315315315315315
hau,0.6,0.4514237344264984,0.5990037359900373,0.30884184308841844,0.3492723492723493,0.436036036036036
hau,0.7,0.41680535674095154,0.6998754669987547,0.30884184308841844,0.3398576512455516,0.33153153153153153
hau,0.8,0.3802605867385864,0.7995018679950187,0.30884184308841844,0.3302180685358255,0.22522522522522523
hau,0.9,0.3382640779018402,0.8991282689912827,0.30884184308841844,0.3157894736842105,0.10990990990990991
nso,0.5,0.5092258453369141,0.49937733499377335,0.286425902864259,0.33665835411471323,0.5357766143106457
nso,0.6,0.46363624930381775,0.5990037359900373,0.286425902864259,0.3264033264033264,0.43455497382198954
nso,0.7,0.4132251739501953,0.6998754669987547,0.286425902864259,0.31316725978647686,0.3263525305410122
nso,0.8,0.3702535033226013,0.7995018679950187,0.286425902864259,0.308411214953271,0.225130890052356
nso,0.9,0.33967339992523193,0.8991282689912827,0.286425902864259,0.29778393351800553,0.11518324607329843
swa,0.5,0.5148821473121643,0.5,0.30798004987531175,0.34413965087281795,0.5261261261261261
swa,0.6,0.47054579854011536,0.5997506234413965,0.30798004987531175,0.3367983367983368,0.4252252252252252
swa,0.7,0.42881840467453003,0.699501246882793,0.30798004987531175,0.3422459893048128,0.33513513513513515
swa,0.8,0.3901016116142273,0.7992518703241895,0.30798004987531175,0.31981279251170047,0.21441441441441442
swa,0.9,0.3474245071411133,0.899002493765586,0.30798004987531175,0.31761442441054094,0.11351351351351352
yor,0.5,0.46425074338912964,0.5,0.35572139303482586,0.42039800995024873,0.5501930501930502
yor,0.6,0.419839084148407,0.599502487562189,0.35572139303482586,0.41286307053941906,0.45366795366795365
yor,0.7,0.3849532902240753,0.6990049751243781,0.35572139303482586,0.39679715302491103,0.34555984555984554
yor,0.8,0.3523140251636505,0.7997512437810945,0.35572139303482586,0.3810264385692068,0.23166023166023167
yor,0.9,0.3243284225463867,0.8992537313432836,0.35572139303482586,0.37206085753803597,0.12355212355212356
zul,0.5,0.5069196820259094,0.49935316946959896,0.3014230271668823,0.35751295336787564,0.5407407407407407
zul,0.6,0.4667671322822571,0.5989650711513583,0.3014230271668823,0.36069114470842334,0.45185185185185184
zul,0.7,0.43024566769599915,0.6998706338939198,0.3014230271668823,0.3419593345656192,0.34074074074074073
zul,0.8,0.3870074450969696,0.7994825355756792,0.3014230271668823,0.3187702265372168,0.22037037037037038
zul,0.9,0.35212242603302,0.8990944372574385,0.3014230271668823,0.3079136690647482,0.10925925925925926
