language,domain,n,accuracy
amh,elementary_mathematics,100,0.26
amh,global_facts,100,0.24
amh,high_school_geography,100,0.24
amh,high_school_microeconomics,100,0.35
amh,international_law,100,0.25
eng,elementary_mathematics,100,0.26
eng,global_facts,100,0.28
eng,high_school_geography,100,0.38
eng,high_school_microeconomics,100,0.26
eng,international_law,100,0.3
ewe,elementary_mathematics,100,0.21
ewe,global_facts,100,0.26
ewe,high_school_geography,100,0.31
ewe,high_school_microeconomics,100,0.23
ewe,international_law,100,0.25
fra,elementary_mathematics,100,0.24
fra,global_facts,100,0.23
fra,high_school_geography,100,0.21
fra,high_school_microeconomics,100,0.23
fra,international_law,100,0.31
hau,elementary_mathematics,100,0.19
hau,global_facts,100,0.31
hau,high_school_geography,100,0.46
hau,high_school_microeconomics,100,0.26
hau,international_law,100,0.32
ibo,elementary_mathematics,100,0.25
ibo,global_facts,100,0.24
ibo,high_school_geography,100,0.31
ibo,high_school_microeconomics,100,0.29
ibo,international_law,100,0.35
kin,elementary_mathematics,100,0.24
kin,global_facts,100,0.19
kin,high_school_geography,100,0.28
kin,high_school_microeconomics,100,0.33
kin,international_law,100,0.35
lin,elementary_mathematics,100,0.26
lin,global_facts,100,0.23
lin,high_school_geography,100,0.3
lin,high_school_microeconomics,100,0.24
lin,international_law,100,0.29
lug,elementary_mathematics,100,0.23
lug,global_facts,100,0.18
lug,high_school_geography,100,0.28
lug,high_school_microeconomics,100,0.36
lug,international_law,100,0.29
orm,elementary_mathematics,100,0.21
orm,global_facts,100,0.31
orm,high_school_geography,100,0.25
orm,high_school_microeconomics,100,0.28
orm,international_law,100,0.24
sna,elementary_mathematics,100,0.21
sna,global_facts,100,0.22
sna,high_school_geography,100,0.28
sna,high_school_microeconomics,100,0.31
sna,international_law,100,0.22
sot,elementary_mathematics,100,0.26
sot,global_facts,100,0.18
sot,high_school_geography,100,0.26
sot,high_school_microeconomics,100,0.28
sot,international_law,100,0.32
swa,elementary_mathematics,100,0.26
swa,global_facts,100,0.23
swa,high_school_geography,100,0.31
swa,high_school_microeconomics,100,0.3
swa,international_law,100,0.3
twi,elementary_mathematics,100,0.23
twi,global_facts,100,0.28
twi,high_school_geography,100,0.34
twi,high_school_microeconomics,100,0.24
twi,international_law,100,0.29
wol,elementary_mathematics,100,0.28
wol,global_facts,100,0.18
wol,high_school_geography,100,0.28
wol,high_school_microeconomics,100,0.29
wol,international_law,100,0.3
xho,elementary_mathematics,100,0.23
xho,global_facts,100,0.29
xho,high_school_geography,100,0.34
xho,high_school_microeconomics,100,0.29
xho,international_law,100,0.29
yor,elementary_mathematics,100,0.23
yor,global_facts,100,0.22
yor,high_school_geography,100,0.22
yor,high_school_microeconomics,100,0.28
yor,international_law,100,0.3
zul,elementary_mathematics,100,0.22
zul,global_facts,100,0.21
zul,high_school_geography,100,0.31
zul,high_school_microeconomics,100,0.28
zul,international_law,100,0.24
