language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.5509953498840332,0.5,0.268,0.28,0.5081967213114754
amh,0.6,0.49727922677993774,0.6,0.268,0.26,0.39344262295081966
amh,0.7,0.4450635313987732,0.7,0.268,0.28,0.3114754098360656
amh,0.8,0.40639716386795044,0.8,0.268,0.2625,0.19398907103825136
amh,0.9,0.36407041549682617,0.9,0.268,0.26,0.09016393442622951
eng,0.5,0.5770875215530396,0.5,0.296,0.272,0.48295454545454547
eng,0.6,0.5131597518920898,0.6,0.296,0.2733333333333333,0.3806818181818182
eng,0.7,0.4648321866989136,0.7,0.296,0.28,0.2840909090909091
eng,0.8,0.4191637337207794,0.8,0.296,0.2875,0.1903409090909091
eng,0.9,0.35640543699264526,0.9,0.296,0.29333333333333333,0.09659090909090909
ewe,0.5,0.5948286652565002,0.5,0.252,0.28,0.5187165775401069
ewe,0.6,0.5303894877433777,0.6,0.252,0.27,0.4144385026737968
ewe,0.7,0.4788095951080322,0.7,0.252,0.26571428571428574,0.31283422459893045
ewe,0.8,0.4295492470264435,0.8,0.252,0.2575,0.20588235294117646
ewe,0.9,0.37855836749076843,0.9,0.252,0.2511111111111111,0.09893048128342247
fra,0.5,0.6050854921340942,0.5,0.244,0.244,0.5
fra,0.6,0.5531882643699646,0.6,0.244,0.23,0.3888888888888889
fra,0.7,0.4947423040866852,0.7,0.244,0.24285714285714285,0.29894179894179895
fra,0.8,0.4406863749027252,0.8,0.244,0.255,0.21164021164021163
fra,0.9,0.3938540816307068,0.9,0.244,0.24444444444444444,0.10052910052910052
hau,0.5,0.5868816375732422,0.5,0.308,0.308,0.5
hau,0.6,0.5421794056892395,0.6,0.308,0.31,0.40173410404624277
hau,0.7,0.4872435927391052,0.7,0.308,0.3142857142857143,0.3063583815028902
hau,0.8,0.4257602095603943,0.8,0.308,0.3225,0.21676300578034682
hau,0.9,0.3805130422115326,0.9,0.308,0.31333333333333335,0.1069364161849711
ibo,0.5,0.571637749671936,0.5,0.288,0.304,0.5112359550561798
ibo,0.6,0.5260405540466309,0.6,0.288,0.31,0.41853932584269665
ibo,0.7,0.4774112403392792,0.7,0.288,0.32,0.33146067415730335
ibo,0.8,0.4362923204898834,0.8,0.288,0.3025,0.21629213483146068
ibo,0.9,0.37624627351760864,0.9,0.288,0.2911111111111111,0.10393258426966293
kin,0.5,0.5825605988502502,0.5,0.278,0.304,0.518005540166205
