language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,ece_lo,ece_hi,acc_lo,acc_hi
amh,500,0.268,0.5801156479716301,0.3144938822388649,0.3278726262061204,0.31211564797163005,0.49977571160590484,0.2609843564614934,0.2753227459162474,0.35891403538733724,0.22995000000000002,0.308
eng,500,0.296,0.5994325487017631,0.31109394592046735,0.343931849342104,0.3034325487017631,0.47210918304668303,0.29161496727162334,0.2743115002244711,0.3559926513105631,0.258,0.336
ewe,500,0.252,0.6255873418450355,0.37358734184503556,0.3536707516701657,0.3735873418450355,0.554791613615143,0.28458857485483224,0.3300857328221202,0.41410187408030036,0.21,0.2920499999999999
fra,500,0.244,0.6271554359197616,0.3831554359197617,0.3632276728827266,0.38315543591976164,0.5175644028103045,0.267168339361339,0.34336812169849873,0.4242000652655959,0.204,0.284
hau,500,0.308,0.6166594824790954,0.30865948247909547,0.3413308544561712,0.3086594824790954,0.5152390961639517,0.32026658082528847,0.27030896738022564,0.3551813513398171,0.268,0.354
ibo,500,0.288,0.6171888871788979,0.3291888871788978,0.337642745648538,0.3291888871788979,0.5563163233458178,0.32065995629158756,0.28839923161566255,0.3721439183026552,0.24795,0.328
kin,500,0.278,0.6104860184192658,0.3324860184192657,0.33542708939991905,0.3324860184192657,0.5491141712668647,0.3254874149738282,0.2957983638361097,0.3755113474592566,0.242,0.318
lin,500,0.264,0.6260229267477989,0.36499626928567885,0.3576954647132948,0.3620229267477989,0.5278944334650857,0.3096917524056053,0.3251095597922802,0.40831890151500705,0.224,0.302
lug,500,0.268,0.5996741290688514,0.33460778921842577,0.3265869701123163,0.3316741290688514,0.5653087023896909,0.3179896547481778,0.29611282715499404,0.37738019719123833,0.23,0.306
orm,500,0.258,0.6043407886624336,0.3463407886624336,0.35345519899050915,0.34634078866243356,0.4917152468710169,0.24857180719620542,0.3116482860267162,0.39307772943973546,0.22,0.3
sna,500,0.248,0.6168496457934379,0.36884964579343804,0.3540343275008322,0.36884964579343793,0.5429821551132464,0.2718701642695745,0.3270228112488985,0.40708301582485434,0.21195,0.284
sot,500,0.26,0.6110072647333145,0.3510072647333145,0.34168521032628596,0.35100726473331445,0.5387525987525987,0.2998069400863731,0.31555035391896963,0.3941802953258157,0.22,0.3
swa,500,0.28,0.6052117611169815,0.32521176111698147,0.3391807247002713,0.32521176111698147,0.5078174603174603,0.2915284222462272,0.2833559894517064,0.36808370502442117,0.244,0.32
twi,500,0.276,0.610143794119358,0.3341437941193581,0.35081987254262387,0.334143794119358,0.5003803346945311,0.27927263489435383,0.2928114725470543,0.37445707057118416,0.24195,0.318
wol,500,0.266,0.6091295772790909,0.3431295772790909,0.34171040094857935,0.3431295772790909,0.5222798139763577,0.2877061269319753,0.3039458574965596,0.3842227644965052,0.224,0.308
xho,500,0.288,0.6107388174533844,0.3227388174533844,0.344868770482241,0.32273881745338445,0.5083099250936329,0.29055467788445666,0.2832273581519723,0.3691860614210367,0.25195,0.33
yor,500,0.25,0.5990057615637779,0.34900576156377794,0.34751524897390745,0.34900576156377794,0.49463466666666667,0.24370416705577552,0.3115186206102371,0.3910232429713011,0.208,0.286
zul,500,0.252,0.6143267601132393,0.3623267601132393,0.34376488228110247,0.3623267601132393,0.5586113233172056,0.2928581125136427,0.32133507854640486,0.4014904509872198,0.212,0.2900499999999999
