id,language,scoring,mode,predicted_index,answer_index,correct,confidence,entropy,margin,n_choices,domain,verbalized_confidence
eng-eng-0,eng,mc1,mc1,3,2,False,0.6213957071304321,1.0650628805160522,0.44555550813674927,4,elementary_mathematics,
eng-eng-1,eng,mc1,mc1,0,2,False,0.7311283349990845,0.8563947081565857,0.5915900468826294,4,elementary_mathematics,
eng-eng-2,eng,mc1,mc1,3,3,True,0.7618566751480103,0.6343697905540466,0.5449134111404419,4,elementary_mathematics,
eng-eng-3,eng,mc1,mc1,1,1,True,0.3245483338832855,1.3513742685317993,0.01966339349746704,4,elementary_mathematics,
eng-eng-4,eng,mc1,mc1,0,1,False,0.38758155703544617,1.2691824436187744,0.04969757795333862,4,elementary_mathematics,
eng-eng-5,eng,mc1,mc1,1,2,False,0.9766953587532043,0.13328808546066284,0.9633247256278992,4,elementary_mathematics,
eng-eng-6,eng,mc1,mc1,1,2,False,0.6523764729499817,0.9986453056335449,0.49419039487838745,4,elementary_mathematics,
eng-eng-7,eng,mc1,mc1,2,1,False,0.5449178814888,1.0910366773605347,0.28151142597198486,4,elementary_mathematics,
eng-eng-8,eng,mc1,mc1,2,3,False,0.5178862810134888,1.188863754272461,0.3057536482810974,4,elementary_mathematics,
eng-eng-9,eng,mc1,mc1,0,3,False,0.42910417914390564,1.304595708847046,0.20068307220935822,4,elementary_mathematics,
eng-eng-10,eng,mc1,mc1,0,2,False,0.3212719261646271,1.3621188402175903,0.035571902990341187,4,elementary_mathematics,
eng-eng-11,eng,mc1,mc1,0,3,False,0.4812658429145813,0.917375385761261,0.04352763295173645,4,elementary_mathematics,
eng-eng-12,eng,mc1,mc1,0,0,True,0.40453147888183594,1.316790223121643,0.15802888572216034,4,elementary_mathematics,
eng-eng-13,eng,mc1,mc1,1,0,False,0.916979968547821,0.36290425062179565,0.8676214218139648,4,elementary_mathematics,
eng-eng-14,eng,mc1,mc1,3,2,False,0.4576092064380646,1.2459980249404907,0.17788764834403992,4,elementary_mathematics,
