language,n_cal,n_eval,temperature,ece_before,ece_after,overconf_before,overconf_after,ece_reduction
amh,250,250,5.0,0.2938751352120776,0.06509564540097953,0.2857793373032494,0.037871377990525146,0.22877948981109805
eng,250,250,5.0,0.3611163356782754,0.0837977993117969,0.3611163356782754,0.08331127533082133,0.2773185363664785
ewe,250,250,5.0,0.3709968405945174,0.10215295970139271,0.37099684059451743,0.09902467964019274,0.26884388089312466
fra,250,250,5.0,0.37527483206505274,0.10345825208314423,0.37527483206505285,0.09847852416109287,0.2718165799819085
hau,250,250,5.0,0.2781815843868244,0.05242699357962242,0.27818158438682433,0.009230292957836228,0.22575459080720198
ibo,250,250,5.0,0.32883269161910195,0.06975253299353652,0.328832691619102,0.06136779295655587,0.25908015862556544
kin,250,250,5.0,0.367607902141285,0.09920940844133731,0.367607902141285,0.09067686017269,0.2683984936999477
lin,250,250,5.0,0.34781563470467836,0.0910255030761846,0.34186894969011195,0.07359263389276427,0.25679013162849373
lug,250,250,5.0,0.3118505303359227,0.05880503570004602,0.30598321013211216,0.05843290206987972,0.25304549463587667
orm,250,250,5.0,0.3642873676748051,0.10182771207053436,0.3642873676748051,0.09582971604295565,0.2624596556042707
sna,250,250,5.0,0.3779064292567182,0.11550112355614037,0.37790642925671825,0.11550112355614037,0.26240530570057785
sot,250,250,5.0,0.3386435468570917,0.07961508888882446,0.32524393514761574,0.06468636248861581,0.25902845796826723
swa,250,250,5.0,0.33261433004333496,0.0798077885159902,0.3240114732809479,0.06011658348470739,0.2528065415273448
twi,250,250,5.0,0.32445676656611855,0.07244955133730716,0.3244567665661186,0.06345401920568372,0.2520072152288114
wol,250,250,5.0,0.3394309099590916,0.0786529665356277,0.33943090995909153,0.07564401986061009,0.2607779434234639
xho,250,250,5.0,0.35094923702347225,0.07692034191625353,0.35094923702347225,0.07375755802104128,0.27402889510721873
yor,250,250,5.0,0.3575257942885751,0.09773450661786605,0.3575257942885751,0.09444005816166462,0.2597912876707091
zul,250,250,5.0,0.36167666418660177,0.09337870212060925,0.3616766641866018,0.08704941433868829,0.26829796206599255
ALL,4500,4500,,0.34159936180301603,0.07458139968513697,0.341173903388582,0.07458139968513694,0.2670179621178791
