language,n,auroc_maxprob,auroc_entropy,auroc_margin
amh,500,0.49977571160590484,0.5091754343038905,0.48984585270369463
eng,500,0.47210918304668303,0.48821406633906633,0.4652180589680589
ewe,500,0.554791613615143,0.5573168661403956,0.5502079619726679
fra,500,0.5175644028103045,0.5200364298724954,0.5152007979876833
hau,500,0.5152390961639517,0.5121049470760454,0.5170782974251182
ibo,500,0.5563163233458178,0.5624024656679151,0.5394526373283396
kin,500,0.5491141712668647,0.5391697722154687,0.5566073457023856
lin,500,0.5278944334650857,0.5440958498023716,0.5077816205533596
lug,500,0.5653087023896909,0.563922192317103,0.5640751162221678
orm,500,0.4917152468710169,0.5059027560124533,0.474080110324077
sna,500,0.5429821551132464,0.5393145161290323,0.5455344886753603
sot,500,0.5387525987525987,0.5492723492723492,0.528918918918919
swa,500,0.5078174603174603,0.5043849206349206,0.5074206349206349
twi,500,0.5003803346945311,0.4996396829209705,0.504744174873889
wol,500,0.5222798139763577,0.5275859949601525,0.5233451476101698
xho,500,0.5083099250936329,0.5127574906367042,0.5037648252184769
yor,500,0.49463466666666667,0.5061546666666666,0.4899626666666667
zul,500,0.5586113233172056,0.5554918937271879,0.5593116034292503
ALL,9000,0.5228327214378987,0.5272864858187803,0.518176721494138
