language,domain,n,accuracy
amh,Advertising,12,0.3333333333333333
amh,Confusion: Other,8,0.375
amh,Confusion: People,22,0.13636363636363635
amh,Confusion: Places,15,0.06666666666666667
amh,Conspiracies,22,0.36363636363636365
amh,Distraction,13,0.15384615384615385
amh,Economics,29,0.27586206896551724
amh,Education,9,0.0
amh,Fiction,30,0.43333333333333335
amh,Finance,8,0.125
amh,Health,54,0.3333333333333333
amh,History,24,0.25
amh,Indexical Error: Identity,9,0.2222222222222222
amh,Indexical Error: Location,11,0.0
amh,Indexical Error: Other,21,0.19047619047619047
amh,Indexical Error: Time,15,0.06666666666666667
amh,Language,21,0.42857142857142855
amh,Law,61,0.32786885245901637
amh,Logical Falsehood,14,0.35714285714285715
amh,Mandela Effect,6,0.16666666666666666
amh,Misconceptions,98,0.336734693877551
amh,Misconceptions: Topical,4,0.0
amh,Misinformation,12,0.16666666666666666
amh,Misquotations,16,0.3125
amh,Myths and Fairytales,21,0.3333333333333333
amh,Nutrition,15,0.26666666666666666
amh,Paranormal,23,0.34782608695652173
amh,Politics,10,0.3
amh,Proverbs,18,0.4444444444444444
amh,Psychology,18,0.3888888888888889
amh,Religion,14,0.14285714285714285
amh,Science,8,0.25
amh,Sociology,55,0.32727272727272727
amh,Statistics,5,0.2
amh,Stereotypes,24,0.6666666666666666
amh,Subjective,9,0.4444444444444444
amh,Superstitions,21,0.5714285714285714
amh,Weather,16,0.3125
eng,Advertising,13,0.3076923076923077
eng,Confusion: Other,8,0.0
eng,Confusion: People,23,0.0
eng,Confusion: Places,15,0.06666666666666667
eng,Conspiracies,23,0.4782608695652174
eng,Distraction,13,0.07692307692307693
eng,Economics,30,0.23333333333333334
eng,Education,9,0.0
eng,Fiction,30,0.4
eng,Finance,9,0.1111111111111111
eng,Health,54,0.12962962962962962
eng,History,24,0.16666666666666666
eng,Indexical Error: Identity,9,0.1111111111111111
eng,Indexical Error: Location,11,0.0
eng,Indexical Error: Other,21,0.047619047619047616
eng,Indexical Error: Time,16,0.125
eng,Language,21,0.42857142857142855
eng,Law,64,0.34375
eng,Logical Falsehood,14,0.8571428571428571
eng,Mandela Effect,5,0.2
eng,Misconceptions,100,0.35
eng,Misconceptions: Topical,4,0.0
eng,Misinformation,12,0.0
eng,Misquotations,16,0.3125
eng,Myths and Fairytales,21,0.38095238095238093
eng,Nutrition,16,0.1875
eng,Paranormal,26,0.5
eng,Politics,10,0.0
eng,Proverbs,18,0.5555555555555556
eng,Psychology,17,0.17647058823529413
eng,Religion,15,0.3333333333333333
eng,Science,8,0.375
eng,Sociology,55,0.23636363636363636
eng,Statistics,5,0.2
eng,Stereotypes,24,0.6666666666666666
eng,Subjective,8,0.375
eng,Superstitions,21,0.38095238095238093
eng,Weather,16,0.375
hau,Advertising,13,0.23076923076923078
hau,Confusion: Other,7,0.14285714285714285
hau,Confusion: People,19,0.21052631578947367
hau,Confusion: Places,14,0.07142857142857142
hau,Conspiracies,23,0.2608695652173913
hau,Distraction,13,0.15384615384615385
hau,Economics,28,0.25
hau,Education,9,0.2222222222222222
hau,Fiction,29,0.3793103448275862
hau,Finance,9,0.0
hau,Health,55,0.36363636363636365
hau,History,24,0.25
hau,Indexical Error: Identity,8,0.125
hau,Indexical Error: Location,11,0.0
hau,Indexical Error: Other,21,0.19047619047619047
hau,Indexical Error: Time,16,0.0
hau,Language,20,0.55
hau,Law,63,0.3492063492063492
hau,Logical Falsehood,12,0.6666666666666666
hau,Mandela Effect,6,0.16666666666666666
hau,Misconceptions,99,0.2727272727272727
hau,Misconceptions: Topical,4,0.0
hau,Misinformation,12,0.16666666666666666
hau,Misquotations,16,0.25
hau,Myths and Fairytales,21,0.19047619047619047
hau,Nutrition,16,0.25
hau,Paranormal,24,0.3333333333333333
hau,Politics,10,0.7
hau,Proverbs,18,0.6111111111111112
hau,Psychology,18,0.3333333333333333
hau,Religion,15,0.26666666666666666
hau,Science,6,0.5
hau,Sociology,55,0.34545454545454546
hau,Statistics,4,0.75
hau,Stereotypes,24,0.625
hau,Subjective,9,0.1111111111111111
hau,Superstitions,21,0.38095238095238093
hau,Weather,16,0.3125
nso,,803,0.28019925280199254
swa,Advertising,12,0.25
swa,Confusion: Other,8,0.125
