language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.683949887752533,0.5,0.3106060606060606,0.3661616161616162,0.5402930402930403
amh,0.6,0.6198843717575073,0.5997474747474747,0.3106060606060606,0.35578947368421054,0.43956043956043955
amh,0.7,0.5566034913063049,0.6994949494949495,0.3106060606060606,0.33935018050541516,0.32967032967032966
amh,0.8,0.5014036893844604,0.7992424242424242,0.3106060606060606,0.32385466034755134,0.21611721611721613
amh,0.9,0.43918508291244507,0.898989898989899,0.3106060606060606,0.3202247191011236,0.11355311355311355
eng,0.5,0.5574213862419128,0.5,0.2835820895522388,0.3283582089552239,0.53125
eng,0.6,0.506781280040741,0.599502487562189,0.2835820895522388,0.3278008298755187,0.4375
eng,0.7,0.4447494447231293,0.6990049751243781,0.2835820895522388,0.31494661921708184,0.3315972222222222
eng,0.8,0.3895094394683838,0.7997512437810945,0.2835820895522388,0.3001555209953344,0.21875
eng,0.9,0.32132723927497864,0.8992537313432836,0.2835820895522388,0.2946058091286307,0.11458333333333333
hau,0.5,0.6034571528434753,0.49937733499377335,0.3026151930261519,0.3566084788029925,0.5392857142857143
hau,0.6,0.547873854637146,0.5990037359900373,0.3026151930261519,0.340956340956341,0.43392857142857144
hau,0.7,0.49693959951400757,0.6998754669987547,0.3026151930261519,0.33451957295373663,0.33214285714285713
hau,0.8,0.4411677420139313,0.7995018679950187,0.3026151930261519,0.3161993769470405,0.21607142857142858
hau,0.9,0.38699012994766235,0.8991282689912827,0.3026151930261519,0.3060941828254848,0.10535714285714286
nso,0.5,0.6405434012413025,0.49937733499377335,0.28019925280199254,0.34413965087281795,0.5449826989619377
nso,0.6,0.5678268671035767,0.5990037359900373,0.28019925280199254,0.3284823284823285,0.4411764705882353
nso,0.7,0.5089879035949707,0.6998754669987547,0.28019925280199254,0.3238434163701068,0.34256055363321797
nso,0.8,0.4526921808719635,0.7995018679950187,0.28019925280199254,0.3161993769470405,0.24048442906574394
nso,0.9,0.3907339572906494,0.8991282689912827,0.28019925280199254,0.2950138504155125,0.11937716262975778
swa,0.5,0.6071383357048035,0.5,0.3092269326683292,0.33665835411471323,0.51985559566787
swa,0.6,0.5588502883911133,0.5997506234413965,0.3092269326683292,0.3264033264033264,0.4151624548736462
swa,0.7,0.5064269304275513,0.699501246882793,0.3092269326683292,0.32085561497326204,0.31227436823104693
swa,0.8,0.4518797993659973,0.7992518703241895,0.3092269326683292,0.32293291731669266,0.21660649819494585
swa,0.9,0.39277198910713196,0.899002493765586,0.3092269326683292,0.3120665742024965,0.10469314079422383
yor,0.5,0.5358933806419373,0.5,0.36069651741293535,0.43283582089552236,0.556420233463035
yor,0.6,0.488968163728714,0.599502487562189,0.36069651741293535,0.4024896265560166,0.4396887159533074
yor,0.7,0.44285014271736145,0.6990049751243781,0.36069651741293535,0.38434163701067614,0.32684824902723736
yor,0.8,0.4000801146030426,0.7997512437810945,0.36069651741293535,0.3810264385692068,0.22568093385214008
yor,0.9,0.3545162081718445,0.8992537313432836,0.36069651741293535,0.3706777316735823,0.11478599221789883
zul,0.5,0.6377231478691101,0.49935316946959896,0.2858990944372574,0.33678756476683935,0.5362318840579711
zul,0.6,0.5655549764633179,0.5989650711513583,0.2858990944372574,0.3326133909287257,0.44021739130434784
zul,0.7,0.5174367427825928,0.6998706338939198,0.2858990944372574,0.31608133086876156,0.32971014492753625
zul,0.8,0.4689456820487976,0.7994825355756792,0.2858990944372574,0.30258899676375406,0.21920289855072464
zul,0.9,0.4022011458873749,0.8990944372574385,0.2858990944372574,0.29640287769784174,0.11413043478260869
