language,domain,n,accuracy
amh,elementary_mathematics,100,0.53
amh,global_facts,100,0.25
amh,high_school_geography,100,0.23
amh,high_school_microeconomics,100,0.25
amh,international_law,100,0.17
eng,elementary_mathematics,100,0.78
eng,global_facts,100,0.38
eng,high_school_geography,100,0.49
eng,high_school_microeconomics,100,0.54
eng,international_law,100,0.44
ewe,elementary_mathematics,100,0.36
ewe,global_facts,100,0.26
ewe,high_school_geography,100,0.37
ewe,high_school_microeconomics,100,0.21
ewe,international_law,100,0.24
fra,elementary_mathematics,100,0.59
fra,global_facts,100,0.33
fra,high_school_geography,100,0.3
fra,high_school_microeconomics,100,0.3
fra,international_law,100,0.34
hau,elementary_mathematics,100,0.44
hau,global_facts,100,0.25
hau,high_school_geography,100,0.28
hau,high_school_microeconomics,100,0.3
hau,international_law,100,0.25
ibo,elementary_mathematics,100,0.39
ibo,global_facts,100,0.25
ibo,high_school_geography,100,0.21
ibo,high_school_microeconomics,100,0.18
ibo,international_law,100,0.26
kin,elementary_mathematics,100,0.42
kin,global_facts,100,0.26
kin,high_school_geography,100,0.22
kin,high_school_microeconomics,100,0.29
kin,international_law,100,0.24
lin,elementary_mathematics,100,0.43
lin,global_facts,100,0.31
lin,high_school_geography,100,0.26
lin,high_school_microeconomics,100,0.28
lin,international_law,100,0.24
lug,elementary_mathematics,100,0.49
lug,global_facts,100,0.27
lug,high_school_geography,100,0.35
lug,high_school_microeconomics,100,0.28
lug,international_law,100,0.31
orm,elementary_mathematics,100,0.46
orm,global_facts,100,0.27
orm,high_school_geography,100,0.29
orm,high_school_microeconomics,100,0.23
orm,international_law,100,0.25
sna,elementary_mathematics,100,0.45
sna,global_facts,100,0.27
sna,high_school_geography,100,0.26
sna,high_school_microeconomics,100,0.33
sna,international_law,100,0.28
sot,elementary_mathematics,100,0.47
sot,global_facts,100,0.26
sot,high_school_geography,100,0.28
sot,high_school_microeconomics,100,0.24
sot,international_law,100,0.25
swa,elementary_mathematics,100,0.54
swa,global_facts,100,0.3
swa,high_school_geography,100,0.26
swa,high_school_microeconomics,100,0.25
swa,international_law,100,0.21
twi,elementary_mathematics,100,0.48
twi,global_facts,100,0.27
twi,high_school_geography,100,0.23
twi,high_school_microeconomics,100,0.25
twi,international_law,100,0.24
wol,elementary_mathematics,100,0.32
wol,global_facts,100,0.21
wol,high_school_geography,100,0.3
wol,high_school_microeconomics,100,0.27
wol,international_law,100,0.24
xho,elementary_mathematics,100,0.4
xho,global_facts,100,0.26
xho,high_school_geography,100,0.28
xho,high_school_microeconomics,100,0.25
xho,international_law,100,0.21
yor,elementary_mathematics,100,0.52
yor,global_facts,100,0.23
yor,high_school_geography,100,0.29
yor,high_school_microeconomics,100,0.2
yor,international_law,100,0.3
zul,elementary_mathematics,100,0.46
zul,global_facts,100,0.25
zul,high_school_geography,100,0.24
zul,high_school_microeconomics,100,0.21
zul,international_law,100,0.27
