language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.32972609996795654,0.5,0.286,0.332,0.5322128851540616
amh,0.6,0.3130001425743103,0.6,0.286,0.3233333333333333,0.43137254901960786
amh,0.7,0.2989877462387085,0.7,0.286,0.3,0.3137254901960784
amh,0.8,0.2872576117515564,0.8,0.286,0.295,0.21008403361344538
amh,0.9,0.2773286700248718,0.9,0.286,0.28444444444444444,0.09803921568627451
eng,0.5,0.4950748682022095,0.5,0.526,0.672,0.6540084388185654
eng,0.6,0.454316645860672,0.6,0.526,0.6433333333333333,0.5485232067510548
eng,0.7,0.41259241104125977,0.7,0.526,0.62,0.4388185654008439
eng,0.8,0.3752635419368744,0.8,0.526,0.5875,0.3037974683544304
eng,0.9,0.3348020017147064,0.9,0.526,0.5488888888888889,0.14345991561181434
ewe,0.5,0.40451496839523315,0.5,0.288,0.296,0.5056179775280899
ewe,0.6,0.37378501892089844,0.6,0.288,0.2866666666666667,0.398876404494382
ewe,0.7,0.3485702872276306,0.7,0.288,0.28,0.29213483146067415
ewe,0.8,0.3192601203918457,0.8,0.288,0.2775,0.18820224719101122
ewe,0.9,0.2906893789768219,0.9,0.288,0.28888888888888886,0.10112359550561797
fra,0.5,0.442989319562912,0.5,0.372,0.488,0.5923566878980892
fra,0.6,0.40177035331726074,0.6,0.372,0.46,0.4840764331210191
fra,0.7,0.3723801374435425,0.7,0.372,0.4228571428571429,0.35668789808917195
fra,0.8,0.3401120603084564,0.8,0.372,0.4075,0.24522292993630573
fra,0.9,0.3096684515476227,0.9,0.372,0.4022222222222222,0.14331210191082802
hau,0.5,0.40599438548088074,0.5,0.304,0.324,0.514367816091954
hau,0.6,0.3670254349708557,0.6,0.304,0.31666666666666665,0.4109195402298851
hau,0.7,0.34026777744293213,0.7,0.304,0.3342857142857143,0.33045977011494254
hau,0.8,0.3173440396785736,0.8,0.304,0.3175,0.21551724137931033
hau,0.9,0.29221776127815247,0.9,0.304,0.31555555555555553,0.11494252873563218
ibo,0.5,0.40026018023490906,0.5,0.258,0.296,0.5256064690026954
ibo,0.6,0.3768681287765503,0.6,0.258,0.2866666666666667,0.42318059299191374
ibo,0.7,0.34933924674987793,0.7,0.258,0.2714285714285714,0.31266846361185985
ibo,0.8,0.3250982165336609,0.8,0.258,0.2725,0.215633423180593
ibo,0.9,0.29854270815849304,0.9,0.258,0.2688888888888889,0.11320754716981132
kin,0.5,0.4060286581516266,0.5,0.286,0.276,0.49299719887955185
kin,0.6,0.366230309009552,0.6,0.286,0.2833333333333333,0.39775910364145656
kin,0.7,0.3447938561439514,0.7,0.286,0.29428571428571426,0.3081232492997199
kin,0.8,0.3218739330768585,0.8,0.286,0.295,0.21008403361344538
kin,0.9,0.29799914360046387,0.9,0.286,0.29333333333333333,0.1092436974789916
lin,0.5,0.4387899339199066,0.5,0.304,0.336,0.5229885057471264
lin,0.6,0.401638925075531,0.6,0.304,0.3233333333333333,0.4166666666666667
lin,0.7,0.36882638931274414,0.7,0.304,0.31142857142857144,0.3074712643678161
lin,0.8,0.3283473253250122,0.8,0.304,0.3125,0.20977011494252873
lin,0.9,0.29489561915397644,0.9,0.304,0.31555555555555553,0.11494252873563218
lug,0.5,0.38623422384262085,0.5,0.34,0.364,0.5181818181818182
lug,0.6,0.3562076985836029,0.6,0.34,0.36333333333333334,0.4212121212121212
lug,0.7,0.33044636249542236,0.7,0.34,0.35714285714285715,0.3181818181818182
lug,0.8,0.31026652455329895,0.8,0.34,0.355,0.21818181818181817
lug,0.9,0.290031373500824,0.9,0.34,0.35333333333333333,0.11818181818181818
orm,0.5,0.39423471689224243,0.5,0.3,0.332,0.5228571428571429
orm,0.6,0.35816094279289246,0.6,0.3,0.31333333333333335,0.4114285714285714
orm,0.7,0.3341352641582489,0.7,0.3,0.31142857142857144,0.31142857142857144
orm,0.8,0.3121829330921173,0.8,0.3,0.3175,0.22
