language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,ece_lo,ece_hi,acc_lo,acc_hi
amh,500,0.286,0.3687279484272003,0.08417272186279295,0.20723479338627276,0.08272794842720033,0.5720162190750426,0.35667098289734656,0.057272825489938256,0.12639943276643748,0.248,0.32604999999999995
eng,500,0.526,0.5371050772070884,0.06170916253328325,0.22604197692682676,0.01110507720708842,0.6912290834416261,0.6607505963575389,0.05059725392311813,0.11675691286772487,0.478,0.572
ewe,500,0.288,0.4578439088463783,0.17450875908136368,0.25868317520123046,0.16984390884637834,0.5100070224719101,0.2948905085822623,0.1435472613289952,0.22134283208549024,0.25,0.32804999999999995
fra,500,0.372,0.48098604881763457,0.11446874582767487,0.22465482385276664,0.10898604881763457,0.6704335319498664,0.5047565560477474,0.08235103472918272,0.1539727907806635,0.328,0.4140499999999999
hau,500,0.304,0.4448991786241531,0.14089917862415313,0.24160839458100639,0.14089917862415313,0.5518186630369025,0.34887674420362774,0.10999246439039707,0.18554306596517567,0.264,0.344
ibo,500,0.258,0.4603640855550766,0.2023640855550766,0.24966181201962456,0.20236408555507657,0.5631960550784596,0.28577396233223346,0.16354076787233351,0.24191940511167048,0.218,0.296
kin,500,0.286,0.4377795487642288,0.15214691531658173,0.2389717963578705,0.15177954876422883,0.5239074650839357,0.3130409918927839,0.12460140897631643,0.19385344193875786,0.246,0.32404999999999995
lin,500,0.304,0.4837769127488136,0.17977691274881363,0.2620263566346732,0.17977691274881363,0.5485859044162129,0.3387748772000089,0.14792184981703757,0.22367350511699916,0.26595,0.344
lug,500,0.34,0.43474641543626785,0.09712595611810684,0.24393735807201666,0.09474641543626783,0.5559180035650624,0.3818305394758936,0.07727522117793559,0.14386813091933728,0.30195,0.382
orm,500,0.3,0.42817705011367796,0.12837825560569766,0.2363243271159671,0.12817705011367797,0.5532761904761905,0.32771108334463656,0.0974569373458624,0.17179965559840202,0.25995,0.338
sna,500,0.318,0.4568011959195137,0.1413672897219658,0.2558501962627659,0.13880119591951368,0.5423006695069994,0.33359644329201066,0.11100823610574007,0.18975393500626087,0.278,0.36
sot,500,0.3,0.4764872495532036,0.18114664655923843,0.27391889998920965,0.1764872495532036,0.4879047619047619,0.29516351311248923,0.15665849146693944,0.23225964348465206,0.262,0.33804999999999996
swa,500,0.312,0.4510014701485634,0.1390014701485634,0.25704041985476517,0.1390014701485634,0.5214482707215266,0.3143795991829431,0.11013408917039631,0.18536749512851236,0.27595000000000003,0.3500499999999999
twi,500,0.294,0.4551577378511429,0.16465489065647126,0.25880583835595833,0.1611577378511429,0.5129309514173942,0.2924595379603668,0.13207487685233354,0.20899400701820853,0.254,0.334
wol,500,0.268,0.4504614607691765,0.18246146076917646,0.2446697936996096,0.18246146076917646,0.5415137427616018,0.29265481435946694,0.14765363235473636,0.2258961112290621,0.23195000000000002,0.308
xho,500,0.28,0.4569234257340431,0.17763317316770552,0.2538400269763491,0.17692342573404307,0.5210317460317461,0.28414014063320747,0.14445717248916626,0.22247482085078954,0.24,0.322
yor,500,0.308,0.4335830491185188,0.12558304911851884,0.2388282724127386,0.1255830491185188,0.5761579461001426,0.34905167281620764,0.09592769397199155,0.1676927658051252,0.26995,0.346
zul,500,0.286,0.4489719007611275,0.16660262399911877,0.25230145862584435,0.1629719007611275,0.509039979628215,0.2994140234960764,0.13792961145192387,0.20988027857393024,0.246,0.326
