language,n_cal,n_eval,temperature,ece_before,ece_after,overconf_before,overconf_after,ece_reduction
amh,250,250,5.0,0.1009014643468761,0.023584885184826043,0.09696617096568716,0.002045041637305123,0.07731657916205005
eng,250,250,0.8,0.08728615842703956,0.0977303515872044,0.04808461440466494,0.09656787836207059,-0.010444193160164844
ewe,250,250,3.0,0.16942658988983023,0.04761792637867415,0.16942658988983017,0.0409470860053206,0.12180866351115607
fra,250,250,2.0,0.14347145154695362,0.06643883436789184,0.13940977248155234,0.0356240901369248,0.07703261717906178
hau,250,250,3.0,0.15836229991533154,0.04149898153282968,0.15836229991533146,0.036531982326463985,0.11686331838250186
ibo,250,250,5.0,0.16994215772957333,0.012216475172795555,0.16994215772957333,0.006769986796348493,0.15772568255677777
kin,250,250,5.0,0.15518043693144465,0.012377277671437141,0.14803139669223847,-0.0023530425943638633,0.1428031592600075
lin,250,250,5.0,0.17222131278494768,0.06604987103629174,0.13068495751535109,-0.04071302744607219,0.10617144174865593
lug,250,250,3.0,0.09913450189820039,0.046971788379488545,0.08395012117647832,-0.028186581014259304,0.052162713518711844
orm,250,250,2.0,0.17436630278198686,0.08735680546537394,0.17436630278198684,0.08735680546537394,0.08700949731661292
sna,250,250,5.0,0.11377984207429573,0.07921597024362406,0.10798105428796068,-0.04864724346690419,0.034563871830671666
sot,250,250,5.0,0.1866604394062042,0.037811830591317895,0.17770319221418673,0.006725241982457553,0.1488486088148863
swa,250,250,3.0,0.17396845072651168,0.06017842249896103,0.17396845072651163,0.04830273490206982,0.11379002822755066
twi,250,250,5.0,0.1754301223907692,0.030435412837409134,0.16668970990172216,0.01022003533480692,0.14499470955336005
wol,250,250,5.0,0.179408398339216,0.031129206990002614,0.17940839833921596,0.02202605339860475,0.1482791913492134
xho,250,250,5.0,0.2031008190121054,0.03553848742367775,0.20310081901210542,0.035538487423677656,0.16756233158842765
yor,250,250,5.0,0.13765048293605986,0.04970479498473383,0.13438622723886612,-0.0073684083433748215,0.08794568795132603
zul,250,250,5.0,0.1947604707218091,0.03411415617193457,0.19270356059525579,0.034114156171934584,0.16064631454987455
ALL,4500,4500,,0.14750921088158442,0.02084958687647689,0.14750921088158436,0.018638959837687985,0.12665962400510752
