language,n,auroc_maxprob,auroc_entropy,auroc_margin
amh,500,0.5720162190750426,0.5662180956298604,0.5533290239172592
eng,500,0.6912290834416261,0.6565753798270524,0.6973576550993887
ewe,500,0.5100070224719101,0.524851747815231,0.49424547440699124
fra,500,0.6704335319498664,0.6474556537223478,0.67176905691391
hau,500,0.5518186630369025,0.553104204476709,0.5515161826981246
ibo,500,0.5631960550784596,0.5600618483461836,0.5572619569986836
kin,500,0.5239074650839357,0.5238095238095238,0.5243775832011126
lin,500,0.5485859044162129,0.5331972171808833,0.5633885359951604
lug,500,0.5559180035650624,0.5560071301247772,0.5454723707664885
orm,500,0.5532761904761905,0.5540190476190476,0.5261904761904761
sna,500,0.5423006695069994,0.5306626828233645,0.5523063870598868
sot,500,0.4879047619047619,0.4884761904761905,0.4742857142857143
swa,500,0.5214482707215266,0.521522808586762,0.5186065146094215
twi,500,0.5129309514173942,0.5269121813031161,0.4924457034938622
wol,500,0.5415137427616018,0.5668175515863306,0.49771633635103174
xho,500,0.5210317460317461,0.5186507936507937,0.5258531746031746
yor,500,0.5761579461001426,0.5761391787403349,0.5639310111853465
zul,500,0.509039979628215,0.5036923860453272,0.5093925682160976
ALL,9000,0.56257854690558,0.5605377991502388,0.5552382648101535
