language,domain,n,accuracy
amh,Advertising,12,0.25
amh,Confusion: Other,8,0.125
amh,Confusion: People,22,0.0
amh,Confusion: Places,15,0.0
amh,Conspiracies,24,0.2916666666666667
amh,Distraction,13,0.38461538461538464
amh,Economics,29,0.3103448275862069
amh,Education,10,0.1
amh,Fiction,30,0.36666666666666664
amh,Finance,8,0.25
amh,Health,54,0.3333333333333333
amh,History,24,0.5
amh,Indexical Error: Identity,9,0.2222222222222222
amh,Indexical Error: Location,11,0.0
amh,Indexical Error: Other,21,0.5238095238095238
amh,Indexical Error: Time,15,0.26666666666666666
amh,Language,21,0.42857142857142855
amh,Law,61,0.4426229508196721
amh,Logical Falsehood,14,0.8571428571428571
amh,Mandela Effect,6,0.3333333333333333
amh,Misconceptions,98,0.42857142857142855
amh,Misconceptions: Topical,4,0.25
amh,Misinformation,12,0.16666666666666666
amh,Misquotations,16,0.25
amh,Myths and Fairytales,21,0.38095238095238093
amh,Nutrition,15,0.26666666666666666
amh,Paranormal,23,0.4782608695652174
amh,Politics,10,0.3
amh,Proverbs,18,0.6111111111111112
amh,Psychology,18,0.3888888888888889
amh,Religion,14,0.2857142857142857
amh,Science,9,0.3333333333333333
amh,Sociology,55,0.36363636363636365
amh,Statistics,5,0.4
amh,Stereotypes,24,0.5416666666666666
amh,Subjective,9,0.5555555555555556
amh,Superstitions,22,0.6363636363636364
amh,Weather,16,0.375
eng,Advertising,13,0.23076923076923078
eng,Confusion: Other,8,0.125
eng,Confusion: People,23,0.0
eng,Confusion: Places,15,0.26666666666666666
eng,Conspiracies,24,0.5833333333333334
eng,Distraction,13,0.3076923076923077
eng,Economics,30,0.23333333333333334
eng,Education,9,0.1111111111111111
eng,Fiction,30,0.43333333333333335
eng,Finance,9,0.1111111111111111
eng,Health,55,0.45454545454545453
eng,History,24,0.3333333333333333
eng,Indexical Error: Identity,9,0.4444444444444444
eng,Indexical Error: Location,11,0.0
eng,Indexical Error: Other,21,0.047619047619047616
eng,Indexical Error: Time,16,0.125
eng,Language,21,0.47619047619047616
eng,Law,64,0.40625
eng,Logical Falsehood,14,0.7857142857142857
eng,Mandela Effect,6,0.3333333333333333
eng,Misconceptions,100,0.49
eng,Misconceptions: Topical,4,0.5
eng,Misinformation,12,0.08333333333333333
eng,Misquotations,16,0.3125
eng,Myths and Fairytales,21,0.42857142857142855
eng,Nutrition,16,0.25
eng,Paranormal,26,0.4230769230769231
eng,Politics,10,0.3
eng,Proverbs,18,0.7222222222222222
