language,target_coverage,threshold,realized_coverage,base_accuracy,answered_accuracy,frac_errors_removed
amh,0.5,0.3689395487308502,0.4993726474278545,0.3726474278544542,0.4271356783919598,0.544
amh,0.6,0.34560340642929077,0.5997490589711418,0.3726474278544542,0.4205020920502092,0.446
amh,0.7,0.32600221037864685,0.698870765370138,0.3726474278544542,0.4129263913824057,0.346
amh,0.8,0.3073520362377167,0.7992471769134254,0.3726474278544542,0.4065934065934066,0.244
amh,0.9,0.2884039580821991,0.8996235884567126,0.3726474278544542,0.38633193863319387,0.12
eng,0.5,0.4064166843891144,0.49938195302843014,0.380716934487021,0.44801980198019803,0.5548902195608783
eng,0.6,0.3747219741344452,0.5995055624227441,0.380716934487021,0.43711340206185567,0.4550898203592814
eng,0.7,0.34557870030403137,0.6996291718170581,0.380716934487021,0.42579505300353354,0.35129740518962077
eng,0.8,0.31348422169685364,0.799752781211372,0.380716934487021,0.4080370942812983,0.23552894211576847
eng,0.9,0.26600542664527893,0.899876390605686,0.380716934487021,0.3983516483516483,0.12574850299401197
hau,0.5,0.47129642963409424,0.5,0.30816831683168316,0.3292079207920792,0.5152057245080501
hau,0.6,0.4337983727455139,0.599009900990099,0.30816831683168316,0.30785123966942146,0.4007155635062612
hau,0.7,0.40055838227272034,0.6992574257425742,0.30816831683168316,0.3168141592920354,0.3094812164579606
hau,0.8,0.3701026141643524,0.7995049504950495,0.30816831683168316,0.3157894736842105,0.20930232558139536
hau,0.9,0.3274582624435425,0.8997524752475248,0.30816831683168316,0.31911966987620355,0.11449016100178891
nso,0.5,0.4928181767463684,0.5,0.2698019801980198,0.3094059405940594,0.5271186440677966
nso,0.6,0.4401136636734009,0.599009900990099,0.2698019801980198,0.30165289256198347,0.4271186440677966
nso,0.7,0.40265822410583496,0.6992574257425742,0.2698019801980198,0.2849557522123894,0.3152542372881356
nso,0.8,0.3612210750579834,0.7995049504950495,0.2698019801980198,0.2755417956656347,0.20677966101694914
nso,0.9,0.3289916217327118,0.8997524752475248,0.2698019801980198,0.2723521320495186,0.10338983050847457
swa,0.5,0.45947688817977905,0.4993804213135068,0.3345724907063197,0.40198511166253104,0.5512104283054003
swa,0.6,0.41852420568466187,0.5997521685254027,0.3345724907063197,0.378099173553719,0.43947858472998136
swa,0.7,0.3880464434623718,0.6988847583643123,0.3345724907063197,0.35815602836879434,0.3258845437616387
swa,0.8,0.3579831123352051,0.7992565055762082,0.3345724907063197,0.351937984496124,0.22160148975791433
swa,0.9,0.3269994258880615,0.8996282527881041,0.3345724907063197,0.3415977961432507,0.10986964618249534
yor,0.5,0.41727691888809204,0.49938195302843014,0.31025957972805934,0.3589108910891089,0.53584229390681
yor,0.6,0.3869912326335907,0.5995055624227441,0.31025957972805934,0.3463917525773196,0.43189964157706096
yor,0.7,0.36130547523498535,0.6996291718170581,0.31025957972805934,0.3480565371024735,0.3387096774193548
yor,0.8,0.33900871872901917,0.799752781211372,0.31025957972805934,0.3369397217928903,0.23118279569892472
yor,0.9,0.3049546480178833,0.899876390605686,0.31025957972805934,0.3228021978021978,0.11648745519713262
zul,0.5,0.48476722836494446,0.5,0.32390745501285345,0.37532133676092544,0.5380228136882129
zul,0.6,0.4421425461769104,0.5989717223650386,0.32390745501285345,0.37124463519313305,0.4429657794676806
zul,0.7,0.4048909544944763,0.699228791773779,0.32390745501285345,0.36580882352941174,0.344106463878327
zul,0.8,0.369943767786026,0.7994858611825193,0.32390745501285345,0.35852090032154343,0.2414448669201521
zul,0.9,0.3331345021724701,0.8997429305912596,0.32390745501285345,0.34285714285714286,0.12547528517110265
