language,domain,n,accuracy
amh,Advertising,12,0.3333333333333333
amh,Confusion: Other,8,0.125
amh,Confusion: People,22,0.0
amh,Confusion: Places,15,0.0
amh,Conspiracies,22,0.3181818181818182
amh,Distraction,13,0.3076923076923077
amh,Economics,29,0.3448275862068966
amh,Education,9,0.1111111111111111
amh,Fiction,30,0.4666666666666667
amh,Finance,8,0.375
amh,Health,54,0.35185185185185186
amh,History,24,0.5
amh,Indexical Error: Identity,9,0.1111111111111111
amh,Indexical Error: Location,11,0.0
amh,Indexical Error: Other,21,0.5714285714285714
amh,Indexical Error: Time,15,0.4666666666666667
amh,Language,21,0.42857142857142855
amh,Law,61,0.45901639344262296
amh,Logical Falsehood,14,0.8571428571428571
amh,Mandela Effect,6,0.3333333333333333
amh,Misconceptions,98,0.4489795918367347
amh,Misconceptions: Topical,4,0.25
amh,Misinformation,12,0.16666666666666666
amh,Misquotations,16,0.3125
amh,Myths and Fairytales,21,0.3333333333333333
amh,Nutrition,15,0.26666666666666666
amh,Paranormal,23,0.4782608695652174
amh,Politics,10,0.3
amh,Proverbs,18,0.5555555555555556
amh,Psychology,18,0.5555555555555556
amh,Religion,14,0.21428571428571427
amh,Science,8,0.5
amh,Sociology,55,0.32727272727272727
amh,Statistics,5,0.4
amh,Stereotypes,24,0.5416666666666666
amh,Subjective,9,0.4444444444444444
amh,Superstitions,21,0.8095238095238095
amh,Weather,16,0.4375
eng,Advertising,13,0.6923076923076923
eng,Confusion: Other,8,0.0
eng,Confusion: People,23,0.0
eng,Confusion: Places,15,0.26666666666666666
eng,Conspiracies,23,0.5652173913043478
eng,Distraction,13,0.23076923076923078
eng,Economics,30,0.3333333333333333
eng,Education,9,0.2222222222222222
eng,Fiction,30,0.36666666666666664
eng,Finance,9,0.1111111111111111
eng,Health,54,0.5
eng,History,24,0.2916666666666667
eng,Indexical Error: Identity,9,0.5555555555555556
eng,Indexical Error: Location,11,0.09090909090909091
eng,Indexical Error: Other,21,0.09523809523809523
eng,Indexical Error: Time,16,0.125
eng,Language,21,0.47619047619047616
eng,Law,64,0.4375
eng,Logical Falsehood,14,0.9285714285714286
eng,Mandela Effect,5,0.6
eng,Misconceptions,100,0.51
eng,Misconceptions: Topical,4,0.5
eng,Misinformation,12,0.08333333333333333
eng,Misquotations,16,0.375
eng,Myths and Fairytales,21,0.5238095238095238
eng,Nutrition,16,0.375
eng,Paranormal,26,0.5769230769230769
eng,Politics,10,0.6
eng,Proverbs,18,0.7777777777777778
eng,Psychology,17,0.29411764705882354
eng,Religion,15,0.4666666666666667
eng,Science,8,0.75
eng,Sociology,55,0.43636363636363634
