model,benchmark,language,n,accuracy,mean_confidence,overconfidence,ece,brier,failure_rate
deepseek/deepseek-r1-0528,uhura_truthfulqa,amh,80,0.6625,0.8875,0.225,0.24,0.267,0.0
deepseek/deepseek-r1-0528,uhura_truthfulqa,eng,80,0.85,0.9306,0.0806,0.0981,0.1165,0.0
deepseek/deepseek-r1-0528,uhura_truthfulqa,hau,80,0.6125,0.8919,0.2794,0.2794,0.2904,0.0
deepseek/deepseek-r1-0528,uhura_truthfulqa,nso,80,0.625,0.8787,0.2537,0.2538,0.2633,0.0
deepseek/deepseek-r1-0528,uhura_truthfulqa,swa,80,0.625,0.8988,0.2738,0.2737,0.2871,0.0
deepseek/deepseek-r1-0528,uhura_truthfulqa,yor,78,0.5641,0.8788,0.3147,0.3147,0.3217,0.025
deepseek/deepseek-r1-0528,uhura_truthfulqa,zul,70,0.6714,0.8936,0.2221,0.2321,0.248,0.125
google/gemini-2.5-pro,uhura_truthfulqa,amh,77,0.7792,0.9864,0.2071,0.2071,0.2087,0.0375
google/gemini-2.5-pro,uhura_truthfulqa,eng,79,0.8987,0.9909,0.0922,0.0922,0.0943,0.0125
google/gemini-2.5-pro,uhura_truthfulqa,hau,80,0.675,0.9806,0.3056,0.3094,0.3015,0.0
google/gemini-2.5-pro,uhura_truthfulqa,nso,78,0.8333,0.9897,0.1564,0.1564,0.155,0.025
google/gemini-2.5-pro,uhura_truthfulqa,swa,78,0.7821,0.9808,0.1987,0.2038,0.1987,0.025
google/gemini-2.5-pro,uhura_truthfulqa,yor,80,0.8125,0.9894,0.1769,0.1769,0.1733,0.0
google/gemini-2.5-pro,uhura_truthfulqa,zul,30,0.7667,0.98,0.2133,0.2133,0.2113,0.625
