dataset,dlabel,model,ncal,mean_ece,std_ece,pct
uhura_truthfulqa,Uhura-TruthfulQA,Qwen3-4B,10,0.0813,0.0227,1.25
uhura_truthfulqa,Uhura-TruthfulQA,Qwen3-4B,25,0.0738,0.0163,3.12
uhura_truthfulqa,Uhura-TruthfulQA,Qwen3-4B,50,0.0654,0.0113,6.24
uhura_truthfulqa,Uhura-TruthfulQA,Qwen3-4B,100,0.0614,0.0064,12.48
uhura_truthfulqa,Uhura-TruthfulQA,Qwen3-4B,full,0.0543,0.0,50.0
uhura_truthfulqa,Uhura-TruthfulQA,Gemma-4-12B,10,0.0911,0.0404,1.25
uhura_truthfulqa,Uhura-TruthfulQA,Gemma-4-12B,25,0.0789,0.0236,3.12
uhura_truthfulqa,Uhura-TruthfulQA,Gemma-4-12B,50,0.0692,0.0145,6.24
uhura_truthfulqa,Uhura-TruthfulQA,Gemma-4-12B,100,0.0635,0.0088,12.48
uhura_truthfulqa,Uhura-TruthfulQA,Gemma-4-12B,full,0.0581,0.0,50.0
uhura_truthfulqa,Uhura-TruthfulQA,Aya-Expanse-8B,10,0.0873,0.0269,1.25
uhura_truthfulqa,Uhura-TruthfulQA,Aya-Expanse-8B,25,0.0716,0.0186,3.12
uhura_truthfulqa,Uhura-TruthfulQA,Aya-Expanse-8B,50,0.0687,0.014,6.24
uhura_truthfulqa,Uhura-TruthfulQA,Aya-Expanse-8B,100,0.0626,0.0078,12.48
uhura_truthfulqa,Uhura-TruthfulQA,Aya-Expanse-8B,full,0.0607,0.0,50.0
uhura_truthfulqa,Uhura-TruthfulQA,AfroLlama-V1,10,0.0836,0.0132,1.25
uhura_truthfulqa,Uhura-TruthfulQA,AfroLlama-V1,25,0.0821,0.0178,3.12
uhura_truthfulqa,Uhura-TruthfulQA,AfroLlama-V1,50,0.0763,0.0104,6.24
uhura_truthfulqa,Uhura-TruthfulQA,AfroLlama-V1,100,0.0724,0.0079,12.48
uhura_truthfulqa,Uhura-TruthfulQA,AfroLlama-V1,full,0.0651,0.0,50.0
afrimmlu,AfriMMLU,Qwen3-4B,10,0.0641,0.0118,2.0
afrimmlu,AfriMMLU,Qwen3-4B,25,0.0573,0.0072,5.0
afrimmlu,AfriMMLU,Qwen3-4B,50,0.0553,0.0084,10.0
afrimmlu,AfriMMLU,Qwen3-4B,100,0.0512,0.0051,20.0
afrimmlu,AfriMMLU,Qwen3-4B,full,0.0448,0.0,50.0
afrimmlu,AfriMMLU,Gemma-4-12B,10,0.1116,0.0142,2.0
afrimmlu,AfriMMLU,Gemma-4-12B,25,0.0974,0.0077,5.0
afrimmlu,AfriMMLU,Gemma-4-12B,50,0.0897,0.0045,10.0
afrimmlu,AfriMMLU,Gemma-4-12B,100,0.0851,0.0011,20.0
afrimmlu,AfriMMLU,Gemma-4-12B,full,0.0846,0.0,50.0
afrimmlu,AfriMMLU,Aya-Expanse-8B,10,0.0752,0.0134,2.0
afrimmlu,AfriMMLU,Aya-Expanse-8B,25,0.061,0.0055,5.0
afrimmlu,AfriMMLU,Aya-Expanse-8B,50,0.061,0.0083,10.0
afrimmlu,AfriMMLU,Aya-Expanse-8B,100,0.0538,0.0046,20.0
afrimmlu,AfriMMLU,Aya-Expanse-8B,full,0.046,0.0,50.0
afrimmlu,AfriMMLU,AfroLlama-V1,10,0.0749,0.011,2.0
afrimmlu,AfriMMLU,AfroLlama-V1,25,0.0656,0.0083,5.0
afrimmlu,AfriMMLU,AfroLlama-V1,50,0.0596,0.0044,10.0
afrimmlu,AfriMMLU,AfroLlama-V1,100,0.0559,0.0037,20.0
afrimmlu,AfriMMLU,AfroLlama-V1,full,0.053,0.0,50.0
